rule_code_v392,notebook_diagnostic_count_v392,notebook_fixable_count_v392,rule_family_v392,policy_decision_v392,claim_boundary_v392
E402,119,0,module-import-not-at-top,high_risk_bulk_cell_reorder,notebook lint frontier only; no mutation in v392
B018,10,0,useless-expression,manual_review,notebook lint frontier only; no mutation in v392
F541,4,4,f-string-without-placeholders,safe_text_fix_after_dry_run,notebook lint frontier only; no mutation in v392
B007,3,0,unused-loop-control-variable,manual_review,notebook lint frontier only; no mutation in v392
SIM105,3,3,try-except-pass,safe_but_semantic_review_needed,notebook lint frontier only; no mutation in v392
I001,3,3,unsorted-imports,safe_after_notebook_roundtrip_check,notebook lint frontier only; no mutation in v392
W293,3,3,blank-line-whitespace,safe_after_notebook_roundtrip_check,notebook lint frontier only; no mutation in v392
SIM108,2,2,if-else-block-can-be-ternary,style_only_defer,notebook lint frontier only; no mutation in v392
F401,2,2,unused-import,safe_after_dependency_check,notebook lint frontier only; no mutation in v392
B905,2,2,zip-without-strict,safe_after_semantic_check,notebook lint frontier only; no mutation in v392
E712,2,0,true-false-comparison,manual_review,notebook lint frontier only; no mutation in v392
F821,1,0,undefined-name,must_fix_only_with_execution_context,notebook lint frontier only; no mutation in v392
E741,1,0,ambiguous-variable-name,manual_review,notebook lint frontier only; no mutation in v392
SIM115,1,1,open-file-context-manager,safe_after_context_check,notebook lint frontier only; no mutation in v392
SIM102,1,1,nested-if,style_only_defer,notebook lint frontier only; no mutation in v392
UP017,1,1,datetime-timezone-utc,safe_after_import_check,notebook lint frontier only; no mutation in v392
