plan_id_v399,notebook_path_v399,cell_v399,e402_diagnostic_count_v399,first_e402_row_v399,last_e402_row_v399,cell_class_v399,planned_batch_v399,risk_class_v399,import_line_count_v399,pre_import_executable_lines_v399,recommended_action_v399,mutation_allowed_v399,claim_boundary_v399
e402_cell_plan_01,notebooks/03_pd_modeling.ipynb,2,17,6,30,setup_warning_filter_cell,batch_2_setup_warning_filter_refactor,medium_warning_filter_semantics,18,0,split or reorder warning filters only after preserving import-time warning intent,False,plan only; no notebook mutation in v399
e402_cell_plan_02,notebooks/05_time_series_forecasting.ipynb,2,15,6,32,setup_warning_filter_cell,batch_2_setup_warning_filter_refactor,medium_warning_filter_semantics,16,0,split or reorder warning filters only after preserving import-time warning intent,False,plan only; no notebook mutation in v399
e402_cell_plan_03,notebooks/06_survival_analysis.ipynb,2,15,7,26,setup_warning_filter_cell,batch_2_setup_warning_filter_refactor,medium_warning_filter_semantics,16,0,split or reorder warning filters only after preserving import-time warning intent,False,plan only; no notebook mutation in v399
e402_cell_plan_04,notebooks/04_conformal_prediction.ipynb,2,14,6,21,setup_warning_filter_cell,batch_2_setup_warning_filter_refactor,medium_warning_filter_semantics,15,0,split or reorder warning filters only after preserving import-time warning intent,False,plan only; no notebook mutation in v399
e402_cell_plan_05,notebooks/08_portfolio_optimization.ipynb,2,14,5,27,setup_warning_filter_cell,batch_2_setup_warning_filter_refactor,medium_warning_filter_semantics,15,0,split or reorder warning filters only after preserving import-time warning intent,False,plan only; no notebook mutation in v399
e402_cell_plan_06,notebooks/09_end_to_end_pipeline.ipynb,2,13,5,21,setup_warning_filter_cell,batch_2_setup_warning_filter_refactor,medium_warning_filter_semantics,14,0,split or reorder warning filters only after preserving import-time warning intent,False,plan only; no notebook mutation in v399
e402_cell_plan_07,notebooks/13_model_explainability.ipynb,2,10,6,17,setup_warning_filter_cell,batch_2_setup_warning_filter_refactor,medium_warning_filter_semantics,11,0,split or reorder warning filters only after preserving import-time warning intent,False,plan only; no notebook mutation in v399
e402_cell_plan_08,notebooks/02_feature_engineering.ipynb,2,8,5,14,setup_warning_filter_cell,batch_2_setup_warning_filter_refactor,medium_warning_filter_semantics,9,0,split or reorder warning filters only after preserving import-time warning intent,False,plan only; no notebook mutation in v399
e402_cell_plan_09,notebooks/01_eda_lending_club.ipynb,2,6,6,12,setup_warning_filter_cell,batch_2_setup_warning_filter_refactor,medium_warning_filter_semantics,8,0,split or reorder warning filters only after preserving import-time warning intent,False,plan only; no notebook mutation in v399
e402_cell_plan_10,notebooks/03_pd_modeling.ipynb,24,2,5,12,local_delayed_import_cell,batch_1_local_import_hoist,low_to_medium_local_dependency,2,1,hoist local import to notebook setup cell after dependency check,False,plan only; no notebook mutation in v399
e402_cell_plan_11,notebooks/05_time_series_forecasting.ipynb,7,1,23,23,local_delayed_import_cell,batch_1_local_import_hoist,low_to_medium_local_dependency,2,0,hoist local import to notebook setup cell after dependency check,False,plan only; no notebook mutation in v399
e402_cell_plan_12,notebooks/06_survival_analysis.ipynb,12,1,30,30,local_delayed_import_cell,batch_1_local_import_hoist,low_to_medium_local_dependency,1,22,hoist local import to notebook setup cell after dependency check,False,plan only; no notebook mutation in v399
e402_cell_plan_13,notebooks/06_survival_analysis.ipynb,18,1,29,29,local_delayed_import_cell,batch_1_local_import_hoist,low_to_medium_local_dependency,1,22,hoist local import to notebook setup cell after dependency check,False,plan only; no notebook mutation in v399
e402_cell_plan_14,notebooks/09_end_to_end_pipeline.ipynb,8,1,43,43,local_delayed_import_cell,batch_1_local_import_hoist,low_to_medium_local_dependency,1,27,hoist local import to notebook setup cell after dependency check,False,plan only; no notebook mutation in v399
e402_cell_plan_15,notebooks/13_model_explainability.ipynb,8,1,14,14,local_delayed_import_cell,batch_1_local_import_hoist,low_to_medium_local_dependency,1,11,hoist local import to notebook setup cell after dependency check,False,plan only; no notebook mutation in v399
