policy_id,final_wealth_mean,final_wealth_p05,cumulative_losses_p95,ECL_final_mean,source_exposure_weak_share_final_mean,mean_wealth_diff,prob_higher_wealth,auditability_score_proxy_v30,full_candidate_score_v30,claim_safety_gate,paired_robustness_gate_v30,decision_v30,mean_wealth_diff_dynamic_v39,prob_higher_wealth_dynamic_v39,mean_loss_diff,prob_lower_loss,paired_wealth_robustness_gate_v39,tail_challenger_gate_v39,decision_v39,source_cap_families_v39,min_support_pass_rate_v39,full_candidate_score_v39,paper4_working_champion_change_candidate_v39,paper4_only_scope_v39,paper1_promotion_allowed_v39,claim_boundary_v39
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,1169392.180246571,1118878.4274439297,107267.83879408451,765.6610689485351,0.5861593239854525,-426.992609004325,0.4921875,0.4273809523809523,0.7502857142857143,True,False,review,-691.3444055797158,0.4765625,-26914.20544050389,0.99609375,False,True,serious_tail_challenger,9.0,0.0,0.678134300595238,False,True,False,Paper 4 lab registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,1169392.180246571,1118878.4274439297,107267.83879408451,765.6610689485351,0.5861593239854525,-426.992609004325,0.4921875,0.4273809523809523,0.7502857142857143,True,False,review,-691.3444055797158,0.4765625,-26914.20544050389,0.99609375,False,True,serious_tail_challenger,9.0,0.0,0.678134300595238,False,True,False,Paper 4 lab registry only; no final promotion
v13_fvi_capital_guarded,1090003.3752301582,1070936.3123175658,49384.56769194493,0.0,0.0,-79815.79762541724,0.00390625,0.8499999999999999,0.6550476190476191,True,False,review,-81107.20079182848,0.0078125,-61248.212847823655,1.0,False,True,serious_tail_challenger,9.0,0.5,0.6138671874999999,False,True,False,Paper 4 lab registry only; no final promotion
v13_spo_regret_balanced,1131182.910089419,1091407.8465420944,91175.15813060428,0.0,0.0,-38636.26276615642,0.06640625,0.75,0.7733333333333333,True,False,review,-39696.15407392166,0.064453125,-36330.69378062037,0.998046875,False,True,serious_tail_challenger,9.0,0.6666666666666666,0.61025390625,False,True,False,Paper 4 lab registry only; no final promotion
v13_fvi_bellman_rollout,1091759.1849285318,1072753.165111611,49572.17282524605,0.0,0.0,-78059.9879270437,0.00390625,0.8333333333333333,0.6742857142857143,True,False,review,-79513.62496469452,0.0078125,-61293.9504932179,1.0,False,True,serious_tail_challenger,9.0,0.5,0.6097005208333333,False,True,False,Paper 4 lab registry only; no final promotion
v13_fvi_return_recovery,1098229.6296841127,1077842.4350712467,52710.85497165763,0.0,0.0,-71589.54317146263,0.00390625,0.8166666666666667,0.6820952380952381,True,False,review,-72853.30753066664,0.0078125,-60255.76955237647,1.0,False,True,serious_tail_challenger,9.0,0.5,0.6055338541666666,False,True,False,Paper 4 lab registry only; no final promotion
v13_spo_regret_audit_guarded,1122597.216851456,1087662.1020245356,85980.80692894796,0.0,0.0,-47221.95600411954,0.03515625,0.7666666666666666,0.7255238095238096,True,False,serious_challenger,-48094.25256487939,0.033203125,-37304.88328467518,0.998046875,False,True,serious_tail_challenger,9.0,0.6666666666666666,0.6034830729166667,False,True,False,Paper 4 lab registry only; no final promotion
v13_spo_regret_return_recovery,1132097.19781627,1089603.4598341566,97321.61806960564,0.0,0.0,-37721.97503930534,0.0625,0.7166666666666668,0.7327619047619048,True,False,review,-38327.95588174219,0.056640625,-32851.42879409178,0.998046875,False,True,serious_tail_challenger,9.0,0.6666666666666666,0.6005533854166667,False,True,False,Paper 4 lab registry only; no final promotion
v13_mdcp_empirical_tight,1063814.513901417,1035668.521470622,67835.59019281392,0.0,0.0,-106004.65895415844,0.0,0.8,0.588,True,False,review,-107536.15975997936,0.0,-45510.05364916464,1.0,False,True,serious_tail_challenger,9.0,0.0,0.6,False,True,False,Paper 4 lab registry only; no final promotion
v13_mdcp_empirical_base,1099269.9780174235,1066127.2228596755,81933.9296027817,0.0,0.0,-70549.19483815177,0.0078125,0.7833333333333334,0.6767619047619049,True,False,review,-71487.68347941597,0.013671875,-36130.23155887536,0.9921875,False,True,serious_tail_challenger,9.0,0.0,0.5966145833333334,False,True,False,Paper 4 lab registry only; no final promotion
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,1147599.8190202566,1101491.5099386172,103763.41600025556,765.6610689485351,0.5861593239854525,-22219.353835318616,0.1484375,0.4523809523809524,0.7199999999999999,True,False,review,-22260.87149006405,0.142578125,-27806.12799801632,0.990234375,False,True,serious_tail_challenger,9.0,0.0,0.5626069568452381,False,True,False,Paper 4 lab registry only; no final promotion
