policy_id,solver_status,regime_v16,cvar_cap,return_floor,nearest_feasible_cvar90,best_feasible_objective_return,required_cvar_slack_proxy,required_return_floor_relaxation_proxy,certificate_scope,academic_interpretation,strict_infeasibility_label_v20,nearest_feasible_committee_or_relaxed_policy_id_v24,active_source_caps_v24,auditability_conflict_v24,budget_capital_conflict_v24,certificate_type_v24,mathematical_infeasibility_proof_claim,nearest_feasible_committee_or_relaxed_policy_id_v28,required_cvar_slack_v28,required_return_floor_relaxation_v28,broken_caps_v28,dual_slack_available_v28,certificate_type_v28,certificate_type_v33,broken_caps_v33,required_cvar_slack_v33,required_return_floor_relaxation_v33,nearest_feasible_relaxed_policy_id_v33,dual_slack_available_v33,exact_full_universe_claim_v33,claim_boundary_v33,v39_slack_severity,v39_floor_relaxation_severity,strict_committee_relaxed_label_v39,exact_full_universe_claim_v39,mathematical_infeasibility_proof_claim_v39,v39_next_action,claim_boundary_v39
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap90000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,90000.0,80000.0,250000.0,135633.49524334646,160000.0,0.0,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,160000.0,0.0,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,160000.0,0.0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",large,none,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap105000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,105000.0,80000.0,250000.0,135633.49524334646,145000.0,0.0,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,145000.0,0.0,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,145000.0,0.0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",large,none,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
v13_cvar_mdcp_colgen_r1_k32000_floor95000_cap125000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,125000.0,95000.0,250000.0,135633.49524334646,125000.0,0.0,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,125000.0,0.0,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,125000.0,0.0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",large,none,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
v13_cvar_mdcp_colgen_r1_k32000_floor110000_cap150000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,150000.0,110000.0,250000.0,135633.49524334646,100000.0,0.0,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,100000.0,0.0,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,100000.0,0.0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",material,none,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
v13_cvar_mdcp_colgen_r1_k32000_floor125000_cap175000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,175000.0,125000.0,250000.0,135633.49524334646,75000.0,0.0,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,75000.0,0.0,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,75000.0,0.0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",material,none,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
v13_cvar_mdcp_colgen_r1_k32000_floor145000_cap210000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,210000.0,145000.0,250000.0,135633.49524334646,40000.0,9366.504756653536,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,40000.0,9366.504756653536,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,40000.0,9366.504756653536,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",material,small,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
v13_cvar_mdcp_colgen_r1_k32000_floor160000_cap250000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,250000.0,160000.0,250000.0,135633.49524334646,0.0,24366.504756653536,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,0.0,24366.504756653536,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,0.0,24366.504756653536,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",none,small,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
v13_cvar_mdcp_colgen_r2_k36000_floor95000_cap125000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,125000.0,95000.0,250000.0,135633.49524334646,125000.0,0.0,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,125000.0,0.0,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,125000.0,0.0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",large,none,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
v13_cvar_mdcp_colgen_r2_k36000_floor110000_cap150000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,150000.0,110000.0,250000.0,135633.49524334646,100000.0,0.0,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,100000.0,0.0,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,100000.0,0.0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",material,none,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
v13_cvar_mdcp_colgen_r2_k36000_floor125000_cap175000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",strict_or_committee_strict,175000.0,125000.0,250000.0,135633.49524334646,75000.0,0.0,"practical restricted-master infeasibility diagnostic, not mathematical Farkas certificate",strict governance caps can be too tight for the return/tail-risk floor combination,practical_restricted_master_certificate,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,see paper4_v24_cvar_active_cap_diagnostics.csv,strict cap may require relaxed/committee label,diagnostic only; full LP dual not certified,practical_restricted_master_certificate,False,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,75000.0,0.0,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,False,practical_restricted_master_column_generation_diagnostic,practical_restricted_master_column_generation_diagnostic,CVaR cap/return floor/source caps conflict in restricted-master diagnostic,75000.0,0.0,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,False,False,"practical restricted-master/column-generation diagnostic, not exact mathematical proof",material,none,strict_or_committee_strict,False,False,document_strict_infeasibility_boundary,restricted-master/column-generation diagnostic; no exact full-universe optimality or proof claim
