cvar_policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u
formal_cvar_rt0.155_pen0.00,baseline_low,0.95,0.42,61845.00000006186,0.0
formal_cvar_rt0.155_pen0.00,baseline_mid,1.0,0.45,69750.00000006976,0.0
formal_cvar_rt0.155_pen0.00,baseline_high,1.08,0.48,80352.00000008037,0.0
formal_cvar_rt0.155_pen0.00,adverse_low,1.2,0.52,96720.00000009673,0.0
formal_cvar_rt0.155_pen0.00,adverse_mid,1.35,0.55,115087.50000011512,0.0
formal_cvar_rt0.155_pen0.00,adverse_high,1.5,0.58,134850.00000013484,0.0
formal_cvar_rt0.155_pen0.00,severe_low,1.6,0.62,153760.00000015376,0.0
formal_cvar_rt0.155_pen0.00,severe_mid,1.8,0.65,181350.0000001814,0.0
formal_cvar_rt0.155_pen0.00,severe_high,2.0,0.68,210800.0000002108,0.0
formal_cvar_rt0.155_pen0.25,baseline_low,0.95,0.42,61845.000000061846,0.0
formal_cvar_rt0.155_pen0.25,baseline_mid,1.0,0.45,69750.00000006975,0.0
formal_cvar_rt0.155_pen0.25,baseline_high,1.08,0.48,80352.00000008036,0.0
formal_cvar_rt0.155_pen0.25,adverse_low,1.2,0.52,96720.00000009674,0.0
formal_cvar_rt0.155_pen0.25,adverse_mid,1.35,0.55,115087.5000001151,0.0
formal_cvar_rt0.155_pen0.25,adverse_high,1.5,0.58,134665.45220559512,0.0
formal_cvar_rt0.155_pen0.25,severe_low,1.6,0.62,153220.7764774634,0.0
formal_cvar_rt0.155_pen0.25,severe_mid,1.8,0.65,179412.0434137647,0.0
formal_cvar_rt0.155_pen0.25,severe_high,2.0,0.68,207173.58390956937,0.0
formal_cvar_rt0.155_pen0.50,baseline_low,0.95,0.42,19523.31306267274,0.0
formal_cvar_rt0.155_pen0.50,baseline_mid,1.0,0.45,22018.774130833925,0.0
formal_cvar_rt0.155_pen0.50,baseline_high,1.08,0.48,25365.627798720674,0.0
formal_cvar_rt0.155_pen0.50,adverse_low,1.2,0.52,30532.7001280897,0.0
formal_cvar_rt0.155_pen0.50,adverse_mid,1.35,0.55,36330.97731587597,0.0
formal_cvar_rt0.155_pen0.50,adverse_high,1.5,0.58,42569.6299862789,0.0
formal_cvar_rt0.155_pen0.50,severe_low,1.6,0.62,48539.16430619389,0.0
formal_cvar_rt0.155_pen0.50,severe_mid,1.8,0.65,57248.81274016819,0.0
formal_cvar_rt0.155_pen0.50,severe_high,2.0,0.68,66545.62848429808,0.0
formal_cvar_rt0.155_pen1.00,baseline_low,0.95,0.42,12511.203165067347,0.0
formal_cvar_rt0.155_pen1.00,baseline_mid,1.0,0.45,14110.379509474451,0.0
formal_cvar_rt0.155_pen1.00,baseline_high,1.08,0.48,16255.157194914573,0.0
formal_cvar_rt0.155_pen1.00,adverse_low,1.2,0.52,19566.392919804573,0.0
formal_cvar_rt0.155_pen1.00,adverse_mid,1.35,0.55,23282.126190632847,0.0
formal_cvar_rt0.155_pen1.00,adverse_high,1.5,0.58,27280.067051650607,0.0
formal_cvar_rt0.155_pen1.00,severe_low,1.6,0.62,31105.547718663685,0.0
formal_cvar_rt0.155_pen1.00,severe_mid,1.8,0.65,36686.98672463358,0.0
formal_cvar_rt0.155_pen1.00,severe_high,2.0,0.68,42644.70251752278,0.0
formal_cvar_rt0.165_pen0.00,baseline_low,0.95,0.42,65835.00000006583,0.0
formal_cvar_rt0.165_pen0.00,baseline_mid,1.0,0.45,74250.00000007427,0.0
formal_cvar_rt0.165_pen0.00,baseline_high,1.08,0.48,85536.00000008552,0.0
formal_cvar_rt0.165_pen0.00,adverse_low,1.2,0.52,102960.00000010295,0.0
formal_cvar_rt0.165_pen0.00,adverse_mid,1.35,0.55,122512.50000012253,0.0
formal_cvar_rt0.165_pen0.00,adverse_high,1.5,0.58,143550.00000014354,0.0
formal_cvar_rt0.165_pen0.00,severe_low,1.6,0.62,163671.54573156295,0.0
