policy_id,risk_tolerance,gamma,policy_mode,uncertainty_aversion,solver_status,candidate_pool_n,full_n_funded,full_funded_exposure,full_realized_return,full_weighted_pd_high,full_coverage_alpha01,stage0_source,return_delta_vs_champion,cashflow_ecl_v3,net_return_after_cashflow_ecl_v3,online_coverage_mean_v3,online_coverage_min_v3,online_width_mean_v3,worst_defended_source_coverage_v3,max_defended_proxy_gap_v3,v3_gate_online,v3_gate_mdcp,v3_gate_fairness_proxy,v3_gate_ifrs9_positive,v3_selector_score,v3_decision,v3_rank
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.55,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,345,1000000.0,170546.9707702814,0.2468713068525972,0.9478260869565216,v3_full_universe_exact_all_policies,-2782.692645563715,123674.48016732094,46872.490602960446,0.9506935298157725,0.6666666666666666,0.7988996508242089,0.8461538461538461,0.03549931568064846,False,True,True,True,0.9299247263508165,park,1
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.45,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,335,1000000.0,171749.99503414004,0.2676678262352007,0.946268656716418,v3_full_universe_exact_all_policies,-1579.6683817050653,132410.6421599295,39339.35287421054,0.9505761239340688,0.6666666666666666,0.7981483875581963,0.8461538461538461,0.028073082389350842,False,True,True,True,0.8015613877279273,park,2
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,344,1000000.0,167824.31213211964,0.2522118719584192,0.9476744186046512,v3_full_universe_exact_all_policies,-5505.351283725468,126459.93093995348,41364.381192166155,0.9514178488994666,0.6666666666666666,0.7989529540305564,0.8461538461538461,0.022093518579199167,False,True,True,True,0.7991095090403353,park,3
crpto_rt0p175_g0p45_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.45,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,336,1000000.0,173772.954578085,0.2781600217851103,0.9464285714285714,v3_full_universe_exact_all_policies,443.2911622398824,135736.35978692726,38036.594791157724,0.9527815383146265,0.6666666666666666,0.7978297338058625,0.8461538461538461,0.0344541004684199,False,True,True,True,0.797830916176981,park,4
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,338,1000000.0,170034.72155780336,0.2609223751465007,0.9467455621301776,v3_full_universe_exact_all_policies,-3294.9418580417405,129958.77317583153,40075.94838197183,0.9510791725635476,0.6666666666666666,0.7985172217100747,0.8461538461538461,0.025723881647497976,False,True,True,True,0.797672251619951,park,5
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,336,1000000.0,171493.05187548406,0.2685063695852008,0.9464285714285714,v3_full_universe_exact_all_policies,-1836.6115403610456,132677.89288797954,38815.15898750455,0.950628207267402,0.6666666666666666,0.7973706868207597,0.8461538461538461,0.019348846426308908,False,True,True,True,0.7902497614822697,park,6
paper1_economic_champion,0.175,0.45,blended_uncertainty,0.1,paper1_canonical_exact,,335,1000000.0,173329.6634158451,0.2772502754128551,0.9432835820895522,v3_full_universe_exact_all_policies,0.0,135890.45070309486,37439.212712750275,0.9508386145104895,0.6666666666666666,0.7980093187878178,0.8461538461538461,0.039500642146108045,False,True,True,True,0.7807924384276379,protected_paper1_champion,7
crpto_rt0p175_g0p45_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,338,1000000.0,173167.29097774794,0.2777627385877544,0.9437869822485208,v3_full_universe_exact_all_policies,-162.37243809716892,136128.55486509763,37038.73611265031,0.9504008162889742,0.6666666666666666,0.7976231041900688,0.8461538461538461,0.03264733471874781,False,True,True,True,0.7724676020472869,park,8
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.5,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,335,1000000.0,168381.42095406866,0.261356293186156,0.9432835820895522,v3_full_universe_exact_all_policies,-4948.242461776448,131069.57126161404,37311.84969245465,0.948287167486105,0.6666666666666666,0.7980112171790706,0.8461538461538461,0.013147709255022483,False,True,True,True,0.7293805346530473,park,9
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,343,1000000.0,164567.66854109085,0.2437690909413857,0.9475218658892128,v3_full_universe_exact_all_policies,-8761.994874754251,126243.46210057268,38324.20644051817,0.9514313770379947,0.6666666666666666,0.7988800863979134,0.8461538461538461,0.023186813039840548,False,True,True,True,0.7069390573109717,park,10
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.55,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,342,1000000.0,163425.09219159797,0.2389850011604706,0.9473684210526316,v3_full_universe_exact_all_policies,-9904.571224247136,124586.92685726167,38838.1653343363,0.9505633214824392,0.6666666666666666,0.7989981551182668,0.8461538461538461,0.030134454251713794,False,True,True,True,0.7033310134228603,park,11
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.45,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,337,1000000.0,166448.48070384937,0.2585987353575531,0.9436201780415432,v3_full_universe_exact_all_policies,-6881.18271199576,130919.81420322544,35528.666500623905,0.9485070562929503,0.6666666666666666,0.7982819324828592,0.8461538461538461,0.016611104445243483,False,True,True,True,0.6746852300547184,park,12
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.55,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,344,1000000.0,157596.0136379414,0.2150881515796645,0.9476744186046512,v3_full_universe_exact_all_policies,-15733.649777903716,116850.82167546159,40745.191962479774,0.954375344236078,0.75,0.7998750488785524,0.8235294117647058,0.036628402300129426,False,True,True,True,0.6736074466755139,park,13
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.55,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,344,1000000.0,160230.13582575176,0.2309066856709239,0.9447674418604652,v3_full_universe_exact_all_policies,-13099.527590093348,122508.05108743774,37722.08473831402,0.9495209857838577,0.6666666666666666,0.7992301682183743,0.8461538461538461,0.02790747206757127,False,True,True,True,0.6484868350253917,park,14
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.155,0.55,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,342,1000000.0,156688.45547937287,0.2153846625665135,0.9444444444444444,v3_full_universe_exact_all_policies,-16641.20793647223,117027.09767789401,39661.357801478865,0.9501043661199912,0.75,0.799987441023748,0.8235294117647058,0.02607721873659835,False,True,True,True,0.6444410881978115,park,15
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.5,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,336,1000000.0,165867.5409080903,0.2618279195624424,0.9434523809523808,v3_full_universe_exact_all_policies,-7462.122507754801,132759.5255735477,33108.01533454261,0.9485591396262836,0.6666666666666666,0.7973627361287031,0.8461538461538461,0.01818910931565758,False,True,True,True,0.622576349964864,park,16
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.55,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,344,1000000.0,157702.26800928486,0.2228633843614439,0.9447674418604652,v3_full_universe_exact_all_policies,-15627.395406560245,120214.04918995946,37488.21881932537,0.9493274873318452,0.6666666666666666,0.7994743646840039,0.8125,0.033721425555943374,False,True,True,True,0.6112620376655239,park,17
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.55,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,343,1000000.0,157485.99601203215,0.2233236567285602,0.9446064139941692,v3_full_universe_exact_all_policies,-15843.667403812957,120214.21735981065,37271.778652221474,0.9506581403079186,0.75,0.7999314940185157,0.8235294117647058,0.01922585667073698,False,True,True,True,0.6089055289907055,park,18
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.45,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,340,1000000.0,161501.33216824324,0.2416434579736422,0.9441176470588236,v3_full_universe_exact_all_policies,-11828.331247601862,126522.58883635416,34978.74333188908,0.9523858926161558,0.75,0.7982408271881039,0.8235294117647058,0.02643589318550671,False,True,True,True,0.6074502976310434,park,19
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.5,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,337,1000000.0,160371.7703367272,0.236319019067458,0.9436201780415432,v3_full_universe_exact_all_policies,-12957.8930791179,124811.75343307576,35560.01690365144,0.9503141116011182,0.75,0.7987727763753903,0.8235294117647058,0.021964563210542867,False,True,True,True,0.6067838756831831,park,20
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.55,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,340,1000000.0,157284.96087456733,0.2237030727331169,0.9441176470588236,v3_full_universe_exact_all_policies,-16044.702541277771,120213.15056366663,37071.810310900706,0.950195740388997,0.75,0.7993604186734837,0.8235294117647058,0.026799612957444596,False,True,True,True,0.601788174652129,park,21
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.155,0.5,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,341,1000000.0,158133.33171330846,0.2275512818692806,0.9442815249266864,v3_full_universe_exact_all_policies,-15196.33170253664,121580.98593878525,36552.345774523215,0.950195740388997,0.75,0.7991916841802942,0.8235294117647058,0.032302459257254834,False,True,True,True,0.6001684166969283,park,22
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.45,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,342,1000000.0,161139.9777815046,0.240466759498383,0.9415204678362572,v3_full_universe_exact_all_policies,-12189.685634340509,126657.64156263245,34482.33621887215,0.9477115766178266,0.6666666666666666,0.7985811363777426,0.8125,0.0092320168444354,False,True,True,True,0.59446250682379,park,23
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,341,1000000.0,159970.1421115353,0.2354403163287361,0.9413489736070382,v3_full_universe_exact_all_policies,-13359.521304309805,124851.43350787385,35118.70860366142,0.9469611004937092,0.6666666666666666,0.7990687334365357,0.8125,0.013662433535210905,False,True,True,True,0.5932714791229995,park,24
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.55,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,340,1000000.0,160892.80931547802,0.2396392512224623,0.9411764705882352,v3_full_universe_exact_all_policies,-12436.854100367083,126356.50585449956,34536.303460978466,0.9465001144688645,0.6666666666666666,0.7984967175436234,0.8125,0.009507214642853014,False,True,True,True,0.5926322562716442,park,25
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.5,blended_uncertainty,0.1,TerminationCondition.optimal,276869.0,343,1000000.0,157771.10324584515,0.2266826249502611,0.9416909620991254,v3_full_universe_exact_all_policies,-15558.560169999952,121612.11029351075,36158.9929523344,0.94684427325392,0.6666666666666666,0.7994783983071604,0.8235294117647058,0.02027136114479683,False,True,True,True,0.5901941539438961,park,26
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.55,blended_uncertainty,0.05,TerminationCondition.optimal,276869.0,343,1000000.0,158862.2766722592,0.2314000315149835,0.9416909620991254,v3_full_universe_exact_all_policies,-14467.3867435859,123345.22787391044,35517.04879834877,0.946652306027306,0.6666666666666666,0.7989473084323757,0.8125,0.011550225962329352,False,True,True,True,0.5892919832215217,park,27
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.55,blended_uncertainty,0.0,TerminationCondition.optimal,276869.0,338,1000000.0,160754.18284622632,0.2398967762363199,0.940828402366864,v3_full_universe_exact_all_policies,-12575.480569618783,126388.09693940182,34366.085906824504,0.9465001144688645,0.6666666666666666,0.7980287456979028,0.8125,0.009785669219950124,False,True,True,True,0.5879034371853015,park,28
