display_id_v409,notebook_path_v409,cell_v409,row_v409,display_expression_v409,following_statement_v409,display_semantics_v409,recommended_patch_v409,mutation_allowed_v409,claim_boundary_v409
b018_display_01,notebooks/10_paper1_cp_robust_opt.ipynb,6,16,fig1,"export_figure(fig1, ""paper1_fig1_return_by_tolerance"", out[""fig""])",intentional_plotly_display_then_export,fig1.show(),False,display review only; no notebook mutation in v409
b018_display_02,notebooks/10_paper1_cp_robust_opt.ipynb,7,9,fig2,"export_figure(fig2, ""paper1_fig2_price_of_robustness_pct"", out[""fig""])",intentional_plotly_display_then_export,fig2.show(),False,display review only; no notebook mutation in v409
b018_display_03,notebooks/10_paper1_cp_robust_opt.ipynb,8,11,fig3,"export_figure(fig3, ""paper1_fig3_conformal_tradeoff"", out[""fig""])",intentional_plotly_display_then_export,fig3.show(),False,display review only; no notebook mutation in v409
b018_display_04,notebooks/11_paper2_ifrs9_e2e.ipynb,5,15,fig1,"export_figure(fig1, ""paper2_fig1_stage_composition"", out[""fig""])",intentional_plotly_display_then_export,fig1.show(),False,display review only; no notebook mutation in v409
b018_display_05,notebooks/11_paper2_ifrs9_e2e.ipynb,6,15,fig2,"export_figure(fig2, ""paper2_fig2_ecl_range_by_scenario"", out[""fig""])",intentional_plotly_display_then_export,fig2.show(),False,display review only; no notebook mutation in v409
b018_display_06,notebooks/11_paper2_ifrs9_e2e.ipynb,7,18,fig3,"export_figure(fig3, ""paper2_fig3_ecl_sensitivity_heatmap"", out[""fig""])",intentional_plotly_display_then_export,fig3.show(),False,display review only; no notebook mutation in v409
b018_display_07,notebooks/12_paper3_mondrian.ipynb,5,17,fig1,"export_figure(fig1, ""paper3_fig1_coverage_by_grade"", out[""fig""])",intentional_plotly_display_then_export,fig1.show(),False,display review only; no notebook mutation in v409
b018_display_08,notebooks/12_paper3_mondrian.ipynb,6,11,fig2,"export_figure(fig2, ""paper3_fig2_monthly_coverage"", out[""fig""])",intentional_plotly_display_then_export,fig2.show(),False,display review only; no notebook mutation in v409
b018_display_09,notebooks/12_paper3_mondrian.ipynb,7,11,fig3,"export_figure(fig3, ""paper3_fig3_variant_tradeoff"", out[""fig""])",intentional_plotly_display_then_export,fig3.show(),False,display review only; no notebook mutation in v409
b018_display_10,notebooks/12_paper3_mondrian.ipynb,8,10,fig4,"export_figure(fig4, ""paper3_fig4_month_grade_heatmap"", out[""fig""])",intentional_plotly_display_then_export,fig4.show(),False,display review only; no notebook mutation in v409
