validation_item,source_family,method_v41,method_scope_v41,min_support_v41,lambda_observed_v41,width_penalty_v41,source_month_defended_min_v41,policy_month_defended_min_v41,avg_width_loan_v41,policy_month_directly_measured_v41,gate_source80_policy90_width95_v41,strict_live_deployability_claim_allowed,claim_boundary_v41,method_score_v41
v10_best_nominal,global_or_temporal,parent_pool_m5,direct_temporal_or_nominal_holdout,5,0.0,0.0,0.8,0.9,0.9342434494753106,True,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.23230641570374644
v10_best_nominal,global_or_temporal,parent_pool_m8,direct_temporal_or_nominal_holdout,8,0.05,0.0,0.8,0.9,0.9342434494753106,True,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.23230641570374644
v10_best_nominal,global_or_temporal,adaptive_shrink_m10_l10,direct_temporal_or_nominal_holdout,10,0.1,0.002,0.8,0.9,0.9322434494753106,True,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.24628362837129905
v10_best_nominal,global_or_temporal,adaptive_shrink_m15_l15,direct_temporal_or_nominal_holdout,15,0.15,0.004,0.8,0.9,0.9302434494753106,True,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.26026084103885166
v10_best_nominal,global_or_temporal,width_guarded_m20_l10,direct_temporal_or_nominal_holdout,20,0.1,0.006,0.8,0.9,0.9282434494753106,True,True,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.2742380537064043
leave_last_six_months_temporal_holdout,global_or_temporal,parent_pool_m5,direct_temporal_or_nominal_holdout,5,0.0,0.0,,,0.905516413396128,False,False,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.33306836199734213
leave_last_six_months_temporal_holdout,global_or_temporal,parent_pool_m8,direct_temporal_or_nominal_holdout,8,0.05,0.0,,,0.905516413396128,False,False,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.33306836199734213
leave_last_six_months_temporal_holdout,global_or_temporal,adaptive_shrink_m10_l10,direct_temporal_or_nominal_holdout,10,0.1,0.002,,,0.903516413396128,False,False,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.3470455746648948
leave_last_six_months_temporal_holdout,global_or_temporal,adaptive_shrink_m15_l15,direct_temporal_or_nominal_holdout,15,0.15,0.004,,,0.901516413396128,False,False,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.3610227873324474
leave_last_six_months_temporal_holdout,global_or_temporal,width_guarded_m20_l10,direct_temporal_or_nominal_holdout,20,0.1,0.006,,,0.899516413396128,False,False,False,source-family replay calibration; policy-month may be borrowed from global support grid; not live deployment,0.375
