package,available,version,version_lookup_error,import_error,formal_differentiable_spo_claim_allowed,decision_v42,isolated_env_future_path_v42
numpy,True,2.4.3,,,False,usable_for_oracle_or_surrogate_route,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
cvxpy,False,1.4.4,,ImportError: numpy.core.multiarray failed to import,False,dependency_blocked_for_differentiable_spo,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
cvxpylayers,False,,PackageNotFoundError: No package metadata was found for cvxpylayers,ModuleNotFoundError: No module named 'cvxpylayers',False,dependency_blocked_for_differentiable_spo,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
torch,False,,PackageNotFoundError: No package metadata was found for torch,ModuleNotFoundError: No module named 'torch',False,dependency_blocked_for_differentiable_spo,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
pyomo,True,6.10.0,,,False,usable_for_oracle_or_surrogate_route,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
highspy,True,1.13.1,,,False,usable_for_oracle_or_surrogate_route,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
catboost,True,1.2.10,,,False,usable_for_oracle_or_surrogate_route,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
sklearn,True,1.8.0,,,False,usable_for_oracle_or_surrogate_route,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
pandas,True,2.3.3,,,False,usable_for_oracle_or_surrogate_route,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
scipy,True,1.15.3,,,False,usable_for_oracle_or_surrogate_route,".venv-spo with NumPy<2, cvxpy, cvxpylayers, torch; validate before touching main .venv"
