file_path_v435,surface_v435,diagnostic_count_v435,rule_codes_v435,claim_boundary_v435
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,5,"B023,SIM108,SIM223,UP022",hotspot ranking only; no mutation in v435
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,3,"B023,C405",hotspot ranking only; no mutation in v435
scripts/papers/build_paper4_v10_resolution_wave.py,scripts,2,"B023,SIM108",hotspot ranking only; no mutation in v435
scripts/papers/build_paper4_v12_resolution_wave.py,scripts,2,B023,hotspot ranking only; no mutation in v435
book/_helpers/plot_helpers.py,book,1,F401,hotspot ranking only; no mutation in v435
scripts/papers/build_paper4_v398_notebook_historical_e402_policy.py,scripts,1,F401,hotspot ranking only; no mutation in v435
scripts/papers/build_paper4_v399_notebook_e402_cell_refactor_plan.py,scripts,1,F401,hotspot ranking only; no mutation in v435
scripts/papers/build_paper4_v39_v40_living_lab_execution.py,scripts,1,UP022,hotspot ranking only; no mutation in v435
scripts/papers/build_paper4_v406_post_sys_path_refactor_pytest_probe.py,scripts,1,F401,hotspot ranking only; no mutation in v435
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,1,UP022,hotspot ranking only; no mutation in v435
