source_family,method_v45,min_support_v45,prior_k_v45,width_penalty_v45,source_family_defended_min_v45,policy_month_direct_min_v45,avg_width_loan_v45,support_rate_v45,gate_source80_policy90_width95_v45,direct_loan_level_evidence_v45,strict_live_deployability_claim_allowed,claim_boundary_v45
dti_band,direct_m1,1,0.0,0.0,0.7254901960784313,0.6666666666666666,0.9397931252349655,1.0,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
dti_band,pool_m3_k5,3,5.0,0.0,0.7254901960784313,0.6666666666666666,0.9397931252349655,0.5478260869565217,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
dti_band,pool_m5_k10,5,10.0,0.002,0.7254901960784313,0.6666666666666666,0.9417931252349653,0.28695652173913044,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
dti_band,pool_m8_k20_width_guard,8,20.0,0.004,0.7254901960784313,0.6666666666666666,0.9437931252349655,0.06956521739130435,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
dti_band,pool_m12_k30_width_guard,12,30.0,0.006,0.7254901960784313,0.6666666666666666,0.9457931252349655,0.017391304347826087,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
grade,direct_m1,1,0.0,0.0,0.0,0.6666666666666666,0.92281219070917,1.0,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
grade,pool_m3_k5,3,5.0,0.0,0.7254901960784313,0.6666666666666666,0.92281219070917,0.5353535353535354,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
grade,pool_m5_k10,5,10.0,0.002,0.7254901960784313,0.6666666666666666,0.9248121907091699,0.3939393939393939,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
grade,pool_m8_k20_width_guard,8,20.0,0.004,0.7254901960784313,0.6666666666666666,0.9268121907091702,0.1414141414141414,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
grade,pool_m12_k30_width_guard,12,30.0,0.006,0.7254901960784313,0.6666666666666666,0.9288121907091699,0.020202020202020204,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
income_band,direct_m1,1,0.0,0.0,0.0,0.6666666666666666,0.9339672489434375,1.0,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
income_band,pool_m3_k5,3,5.0,0.0,0.7254901960784313,0.6666666666666666,0.9339672489434375,0.5092592592592593,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
income_band,pool_m5_k10,5,10.0,0.002,0.7254901960784313,0.6666666666666666,0.9359672489434374,0.3055555555555556,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
income_band,pool_m8_k20_width_guard,8,20.0,0.004,0.7254901960784313,0.6666666666666666,0.9379672489434374,0.12962962962962962,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
income_band,pool_m12_k30_width_guard,12,30.0,0.006,0.7254901960784313,0.6666666666666666,0.9399672489434374,0.027777777777777776,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
period,direct_m1,1,0.0,0.0,0.7254901960784313,0.6666666666666666,0.9296783365066512,1.0,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
period,pool_m3_k5,3,5.0,0.0,0.7254901960784313,0.6666666666666666,0.9296783365066512,0.8787878787878788,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
period,pool_m5_k10,5,10.0,0.002,0.7254901960784313,0.6666666666666666,0.9316783365066512,0.7575757575757576,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
period,pool_m8_k20_width_guard,8,20.0,0.004,0.7254901960784313,0.6666666666666666,0.9336783365066512,0.696969696969697,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
period,pool_m12_k30_width_guard,12,30.0,0.006,0.7254901960784313,0.6666666666666666,0.9356783365066512,0.48484848484848486,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
score_decile,direct_m1,1,0.0,0.0,0.0,0.6666666666666666,0.9345550525501481,1.0,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
score_decile,pool_m3_k5,3,5.0,0.0,0.7254901960784313,0.6666666666666666,0.9345550525501481,0.4818181818181818,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
score_decile,pool_m5_k10,5,10.0,0.002,0.7254901960784313,0.6666666666666666,0.9365550525501478,0.3,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
score_decile,pool_m8_k20_width_guard,8,20.0,0.004,0.7254901960784313,0.6666666666666666,0.9385550525501484,0.13636363636363635,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
score_decile,pool_m12_k30_width_guard,12,30.0,0.006,0.7254901960784313,0.6666666666666666,0.940555052550148,0.02727272727272727,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
state_top20,direct_m1,1,0.0,0.0,0.0,0.6666666666666666,0.935572744997647,1.0,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
state_top20,pool_m3_k5,3,5.0,0.0,0.7254901960784313,0.6666666666666666,0.935572744997647,0.12658227848101267,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
state_top20,pool_m5_k10,5,10.0,0.002,0.7254901960784313,0.6666666666666666,0.9375727449976468,0.0379746835443038,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
state_top20,pool_m8_k20_width_guard,8,20.0,0.004,0.7254901960784313,0.6666666666666666,0.9395727449976469,0.012658227848101266,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
state_top20,pool_m12_k30_width_guard,12,30.0,0.006,0.7254901960784313,0.6666666666666666,0.941572744997647,0.0,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
term,direct_m1,1,0.0,0.0,0.7254901960784313,0.6666666666666666,0.929479392771672,1.0,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
term,pool_m3_k5,3,5.0,0.0,0.7254901960784313,0.6666666666666666,0.929479392771672,0.7631578947368421,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
term,pool_m5_k10,5,10.0,0.002,0.7254901960784313,0.6666666666666666,0.9314793927716718,0.6578947368421053,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
term,pool_m8_k20_width_guard,8,20.0,0.004,0.7254901960784313,0.6666666666666666,0.9334793927716718,0.6052631578947368,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
term,pool_m12_k30_width_guard,12,30.0,0.006,0.7254901960784313,0.6666666666666666,0.935479392771672,0.39473684210526316,False,True,False,historical loan-level replay with source-family holdout diagnostics; not live deployability
