claim_id_v474,source_wave_v474,recommended_placement_v474,source_artifact_v474,boundary_v474,claim_text_action_v474
v467_v353_local_return_cvar_frontier,v467,main_text,paper4_v467_cvar_frontier_probe.csv,local v338-v347-v353 chain only,state with caveat
v467_bounded_no_entry_evidence_summarized,v467,appendix,paper4_v467_cvar_evidence_stack.csv,bounded branch-price and chunk evidence only,index as support
v468_source_governance_refresh_created,v468,appendix,paper4_v468_source_governance_refresh.csv,diagnostic refresh only,index as support
v468_grade_a_primary_blocker_documented,v468,main_text,paper4_v468_tight_source_rankings.csv,source blocker statement only,state with caveat
v468_blind_chunking_stop_rule_reaffirmed,v468,appendix,paper4_v468_source_execution_decision.csv,execution routing only,index as support
v469_dynamic_replay_inventory_created,v469,appendix,paper4_v469_dynamic_replay_inventory.csv,existing proxy replay inventory only,index as support
v469_v353_dynamic_gap_documented,v469,main_text,paper4_v469_current_frontier_dynamic_gap.csv,gap documentation only,state with caveat
v470_online_monitoring_proxy_created,v470,main_text,paper4_v470_online_monitoring_proxy_summary.csv,proxy-only online monitoring summary,state with caveat
v470_internal_online_gates_inventory_created,v470,appendix,paper4_v470_online_internal_gate_inventory.csv,internal gate inventory only,index as support
v471_bounded_historical_spo_dla_language,v471,main_text,paper4_v471_formal_claim_boundary_matrix.csv,historical/oracle-surrogate audit only,state with caveat
v471_bounded_cvar_solver_context,v471,appendix,paper4_v471_formal_claim_boundary_matrix.csv,bounded/gap CVaR context only,index as support
v472_ifrs9_proxy_boundary_created,v472,appendix,paper4_v472_ifrs9_proxy_boundary_summary.csv,IFRS9-inspired proxy boundary only,index as support
v472_contractual_requirement_gap_documented,v472,main_text,paper4_v472_ifrs9_requirement_audit.csv,requirement audit only,state with caveat
