policy_id,scenario,n_loan_months,n_loans,total_ead_start,total_ead_end,total_net_cash_proxy,total_ecl_proxy,default_event_share,prepayment_event_share,recovery_cash_total,contractual_ifrs9_claim_allowed,claim_boundary_v47
paper1_economic_champion,baseline,36180,335,57601575.0,53101462.85206051,5386288.6937377695,9003598.336975545,0.0015754560530679934,0.026202321724709786,31537.91666666667,False,policy summary from proxy cashflow panel only
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline,37800,350,57432000.0,52930362.739766054,5223087.3003275925,6305526.59432477,0.0013492063492063493,0.02642857142857143,8392.581300000002,False,policy summary from proxy cashflow panel only
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline,37800,350,57432000.0,52930362.739766054,5223087.3003275925,6305526.59432477,0.0013492063492063493,0.02642857142857143,8392.581300000002,False,policy summary from proxy cashflow panel only
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline,36180,335,57432000.0,53066262.65910384,5054045.9266468575,6329163.399298771,0.0011608623548922056,0.02645107794361526,7353.388350000001,False,policy summary from proxy cashflow panel only
v13_fvi_bellman_rollout,baseline,74412,689,55425075.0,50911043.75,4887162.9453125,2976010.589884301,0.0008063215610385422,0.026971456216739235,19616.666666666668,False,policy summary from proxy cashflow panel only
v13_fvi_capital_guarded,baseline,75168,696,55468087.5,50961937.5,4870960.606770833,2979446.206105185,0.0008780332056194125,0.026899744572158366,21092.5,False,policy summary from proxy cashflow panel only
v13_fvi_return_recovery,baseline,73008,676,55409812.5,50915320.833333336,4894812.8025,3083234.0755405906,0.0007807363576594346,0.026997041420118342,19250.0,False,policy summary from proxy cashflow panel only
v13_mdcp_empirical_base,baseline,28836,267,55794000.0,51623925.45302659,4673559.3373946175,5694960.032434116,0.0013524760715771952,0.02517686225551394,8748.725183333334,False,policy summary from proxy cashflow panel only
v13_mdcp_empirical_return_recovery,baseline,31644,293,56529000.0,52229629.18342084,4907213.039685603,5868724.17713465,0.0011376564277588168,0.026071293136139553,7416.556628424456,False,policy summary from proxy cashflow panel only
v13_mdcp_empirical_tight,baseline,21168,196,47175000.0,43891077.09354109,3652087.1665483494,4821590.434810493,0.001417233560090703,0.021683673469387755,4919.2961000000005,False,policy summary from proxy cashflow panel only
v13_spo_regret_audit_guarded,baseline,42768,396,54424687.5,50024279.166666664,4962485.660729167,5289715.38494485,0.0013327721661054994,0.02644500561167228,23403.645833333336,False,policy summary from proxy cashflow panel only
v13_spo_regret_balanced,baseline,41580,385,54537075.0,50088962.5,5034760.46,5350915.553779272,0.001443001443001443,0.026334776334776336,27825.416666666668,False,policy summary from proxy cashflow panel only
v13_spo_regret_return_recovery,baseline,42660,395,54426075.0,50019031.25,4996639.2959375,5662760.495122231,0.0016174402250351617,0.026160337552742614,36060.520833333336,False,policy summary from proxy cashflow panel only
v13_static_reference,baseline,3456,32,65809462.5,61610925.833333336,5413527.240104167,31338183.517026216,0.005208333333333333,0.022569444444444444,170069.1666666667,False,policy summary from proxy cashflow panel only
