scenario_id,macro_regime_v15,path_family_v19,n_loans,default_rate,mean_loss,p95_loss,mean_return,external_forecast_validation_claim_allowed,claim_boundary_v49
0,baseline_internal,baseline_internal,12000,0.14133333333333334,80.39530533429085,0.0,758.8479622715977,False,scenario matrix for internal paired optimization only; no external forecast validation
1,mild_stress_internal,mild_stress_internal,12000,0.18433333333333332,138.97612723282518,0.0,722.9786743257878,False,scenario matrix for internal paired optimization only; no external forecast validation
2,macro_stress_internal,macro_stress_internal,12000,0.2519166666666667,233.41100817689545,0.0,652.776358932759,False,scenario matrix for internal paired optimization only; no external forecast validation
3,vintage_stress_internal,vintage_stress_internal,12000,0.1605,115.54480199659825,0.0,741.1980940505721,False,scenario matrix for internal paired optimization only; no external forecast validation
4,baseline_internal,baseline_internal,12000,0.17783333333333334,107.02259797357353,0.0,750.252058568826,False,scenario matrix for internal paired optimization only; no external forecast validation
5,mild_stress_internal,mild_stress_internal,12000,0.1575,97.15372870210867,0.0,753.6812761612409,False,scenario matrix for internal paired optimization only; no external forecast validation
6,macro_stress_internal,macro_stress_internal,12000,0.19333333333333333,158.79703502859903,0.0,710.3641217008078,False,scenario matrix for internal paired optimization only; no external forecast validation
7,vintage_stress_internal,vintage_stress_internal,12000,0.16333333333333333,117.96576440627916,0.0,739.1034560606843,False,scenario matrix for internal paired optimization only; no external forecast validation
8,baseline_internal,baseline_internal,12000,0.16108333333333333,102.71510089262513,0.0,744.8467482852606,False,scenario matrix for internal paired optimization only; no external forecast validation
9,mild_stress_internal,mild_stress_internal,12000,0.1415,87.47408086706761,0.0,754.1944781874653,False,scenario matrix for internal paired optimization only; no external forecast validation
10,macro_stress_internal,macro_stress_internal,12000,0.30583333333333335,310.7008469663512,0.0,588.8754059215245,False,scenario matrix for internal paired optimization only; no external forecast validation
11,vintage_stress_internal,vintage_stress_internal,12000,0.21425,193.90217314166148,0.0,680.9679495963377,False,scenario matrix for internal paired optimization only; no external forecast validation
12,baseline_internal,baseline_internal,12000,0.15175,102.06035032343594,0.0,742.3431156818359,False,scenario matrix for internal paired optimization only; no external forecast validation
13,mild_stress_internal,mild_stress_internal,12000,0.17533333333333334,120.66832625357077,0.0,737.1767253452107,False,scenario matrix for internal paired optimization only; no external forecast validation
14,macro_stress_internal,macro_stress_internal,12000,0.22133333333333333,211.4301379410634,0.0,668.3871295556897,False,scenario matrix for internal paired optimization only; no external forecast validation
15,vintage_stress_internal,vintage_stress_internal,12000,0.19533333333333333,130.3121097668286,0.0,736.8175453043308,False,scenario matrix for internal paired optimization only; no external forecast validation
16,baseline_internal,baseline_internal,12000,0.15741666666666668,110.03630556264707,0.0,738.2953667229361,False,scenario matrix for internal paired optimization only; no external forecast validation
17,mild_stress_internal,mild_stress_internal,12000,0.14208333333333334,102.10253185569972,0.0,742.5821901011515,False,scenario matrix for internal paired optimization only; no external forecast validation
18,macro_stress_internal,macro_stress_internal,12000,0.1875,139.3991382531899,0.0,725.9585374519468,False,scenario matrix for internal paired optimization only; no external forecast validation
19,vintage_stress_internal,vintage_stress_internal,12000,0.22433333333333333,167.94240629254992,0.0,710.6146605740765,False,scenario matrix for internal paired optimization only; no external forecast validation
20,baseline_internal,baseline_internal,12000,0.18341666666666667,133.72570485668288,0.0,725.2725405699505,False,scenario matrix for internal paired optimization only; no external forecast validation
