source_family,source_id,issue_month,n,coverage,avg_width,weak_cell_scope_v49
grade,B,2018-04,1120,0.0,0.8636430153376995,lowest direct source-month coverage cells before qhat repair
grade,F,2018-06,3200,0.5,0.9736151792514158,lowest direct source-month coverage cells before qhat repair
grade,C,2019-11,6720,0.7619047619047619,0.9243594613448501,lowest direct source-month coverage cells before qhat repair
grade,B,2019-03,2288,0.8181818181818182,0.8587379085873849,lowest direct source-month coverage cells before qhat repair
grade,C,2019-06,9600,0.8333333333333334,0.8980458389119443,lowest direct source-month coverage cells before qhat repair
grade,C,2019-07,13280,0.8765060240963856,0.9168927426445742,lowest direct source-month coverage cells before qhat repair
grade,C,2019-04,19680,0.8983739837398373,0.9239495831370235,lowest direct source-month coverage cells before qhat repair
grade,B,2019-05,4176,0.9195402298850575,0.8570274487702941,lowest direct source-month coverage cells before qhat repair
grade,D,2018-02,9392,0.9203577512776832,0.9824331542126928,lowest direct source-month coverage cells before qhat repair
grade,D,2019-04,11088,0.9278499278499278,0.9900954882141177,lowest direct source-month coverage cells before qhat repair
grade,C,2018-10,8320,0.9615384615384616,0.9010933943203212,lowest direct source-month coverage cells before qhat repair
grade,D,2019-11,10480,0.9618320610687023,0.9954077858471849,lowest direct source-month coverage cells before qhat repair
period,2018H1,2018-04,4080,0.7254901960784313,0.912738483153893,lowest direct source-month coverage cells before qhat repair
period,2019H2,2019-11,17328,0.8845798707294552,0.9668810873660618,lowest direct source-month coverage cells before qhat repair
period,2018H1,2018-06,20864,0.9041411042944786,0.9695387123536745,lowest direct source-month coverage cells before qhat repair
period,2019H1,2019-04,32880,0.9148418491484185,0.9427523916940704,lowest direct source-month coverage cells before qhat repair
period,2019H1,2019-06,23712,0.9325236167341431,0.9519547254514149,lowest direct source-month coverage cells before qhat repair
period,2018H1,2018-02,11952,0.9374163319946452,0.9716920365113717,lowest direct source-month coverage cells before qhat repair
period,2019H2,2019-07,37888,0.9461570945945946,0.9625113777025571,lowest direct source-month coverage cells before qhat repair
period,2019H1,2019-02,21664,0.981536189069424,0.9608303191981376,lowest direct source-month coverage cells before qhat repair
period,2019H1,2019-03,25824,0.9838909541511772,0.9514182628339922,lowest direct source-month coverage cells before qhat repair
period,2019H1,2019-05,22976,0.9853760445682451,0.9411327707145304,lowest direct source-month coverage cells before qhat repair
period,2018H2,2018-10,22240,0.9856115107913669,0.9348006764130886,lowest direct source-month coverage cells before qhat repair
period,2018H2,2018-11,39232,0.9898042414355628,0.9447335549583508,lowest direct source-month coverage cells before qhat repair
term,36,2018-04,4080,0.7254901960784313,0.912738483153893,lowest direct source-month coverage cells before qhat repair
term,36,2019-11,15632,0.872057318321392,0.9644043740990208,lowest direct source-month coverage cells before qhat repair
term,36,2018-06,20864,0.9041411042944786,0.9695387123536745,lowest direct source-month coverage cells before qhat repair
term,36,2019-04,31440,0.910941475826972,0.9459883802723185,lowest direct source-month coverage cells before qhat repair
term,36,2019-06,23712,0.9325236167341431,0.9519547254514149,lowest direct source-month coverage cells before qhat repair
term,36,2018-02,11952,0.9374163319946452,0.9716920365113717,lowest direct source-month coverage cells before qhat repair
term,36,2019-07,36288,0.9437830687830688,0.9616676093885577,lowest direct source-month coverage cells before qhat repair
term,36,2019-02,21664,0.981536189069424,0.9608303191981376,lowest direct source-month coverage cells before qhat repair
term,36,2019-03,25824,0.9838909541511772,0.9514182628339922,lowest direct source-month coverage cells before qhat repair
term,36,2019-05,22976,0.9853760445682451,0.9411327707145304,lowest direct source-month coverage cells before qhat repair
term,36,2018-10,22240,0.9856115107913669,0.9348006764130886,lowest direct source-month coverage cells before qhat repair
term,36,2018-11,39232,0.9898042414355628,0.9447335549583508,lowest direct source-month coverage cells before qhat repair
score_decile,3,2018-06,1600,0.0,0.9548864183120943,lowest direct source-month coverage cells before qhat repair
score_decile,0,2018-04,2480,0.5483870967741935,0.8682807025666851,lowest direct source-month coverage cells before qhat repair
score_decile,1,2019-11,5120,0.6875,0.9273558023347028,lowest direct source-month coverage cells before qhat repair
score_decile,1,2019-06,9600,0.8333333333333334,0.9057954006622145,lowest direct source-month coverage cells before qhat repair
score_decile,3,2019-11,3200,0.875,0.9948566908891213,lowest direct source-month coverage cells before qhat repair
score_decile,1,2019-04,16928,0.8818525519848771,0.9185919076742227,lowest direct source-month coverage cells before qhat repair
