capture_packet_id_v502,capture_field_v502,field_required_v502,field_present_v502,field_prefilled_v502,human_entry_required_v502,claim_boundary_v502
manual_capture_01,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_01,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_01,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_01,revision_required,True,True,False,True,manual field checklist only
manual_capture_01,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_01,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_01,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_01,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_02,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_02,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_02,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_02,revision_required,True,True,False,True,manual field checklist only
manual_capture_02,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_02,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_02,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_02,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_03,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_03,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_03,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_03,revision_required,True,True,False,True,manual field checklist only
manual_capture_03,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_03,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_03,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_03,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_04,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_04,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_04,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_04,revision_required,True,True,False,True,manual field checklist only
manual_capture_04,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_04,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_04,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_04,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_05,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_05,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_05,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_05,revision_required,True,True,False,True,manual field checklist only
manual_capture_05,claim_boundary_ok,True,True,False,True,manual field checklist only
manual_capture_05,caption_final_allowed,True,True,False,True,manual field checklist only
manual_capture_05,patch_scope_ok,True,True,False,True,manual field checklist only
manual_capture_05,reviewer_notes,True,True,False,True,manual field checklist only
manual_capture_06,reviewer_id,True,True,False,True,manual field checklist only
manual_capture_06,review_timestamp_utc,True,True,False,True,manual field checklist only
manual_capture_06,outcome_decision,True,True,False,True,manual field checklist only
manual_capture_06,revision_required,True,True,False,True,manual field checklist only
manual_capture_06,claim_boundary_ok,True,True,False,True,manual field checklist only
