assignment_stub_id_v502,priority_v502,review_domain_v502,asset_id_v502,reviewer_assigned_v502,assignment_required_v502,ready_for_manual_assignment_v502,outcome_recorded_v502,patch_allowed_v502,claim_boundary_v502
manual_capture_01,1,layout_surface,T1;F1,False,True,True,False,False,assignment stub only
manual_capture_02,2,layout_surface,T2;F2;T4;F3,False,True,True,False,False,assignment stub only
manual_capture_03,3,layout_surface,T3;T6,False,True,True,False,False,assignment stub only
manual_capture_04,4,layout_surface,T5;F4,False,True,True,False,False,assignment stub only
manual_capture_05,5,caption_claim_safety,T5,False,True,True,False,False,assignment stub only
manual_capture_06,6,caption_claim_safety,F4,False,True,True,False,False,assignment stub only
manual_capture_07,7,caption_claim_safety,T1,False,True,True,False,False,assignment stub only
manual_capture_08,8,caption_claim_safety,F1,False,True,True,False,False,assignment stub only
manual_capture_09,9,caption_claim_safety,T2,False,True,True,False,False,assignment stub only
manual_capture_10,10,caption_claim_safety,F2,False,True,True,False,False,assignment stub only
manual_capture_11,11,caption_claim_safety,T4,False,True,True,False,False,assignment stub only
manual_capture_12,12,caption_claim_safety,F3,False,True,True,False,False,assignment stub only
manual_capture_13,13,caption_claim_safety,T3,False,True,True,False,False,assignment stub only
manual_capture_14,14,caption_claim_safety,T6,False,True,True,False,False,assignment stub only
