assignment_packet_id_v504,priority_v504,review_domain_v504,asset_id_v504,reviewer_role_required_v504,reviewer_slot_created_v504,reviewer_candidate_prefilled_v504,reviewer_assigned_v504,assignment_signoff_recorded_v504,outcome_capture_allowed_v504,patch_allowed_v504,claim_boundary_v504
manual_capture_01,1,layout_surface,T1;F1,layout_surface_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_02,2,layout_surface,T2;F2;T4;F3,layout_surface_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_03,3,layout_surface,T3;T6,layout_surface_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_04,4,layout_surface,T5;F4,layout_surface_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_05,5,caption_claim_safety,T5,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_06,6,caption_claim_safety,F4,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_07,7,caption_claim_safety,T1,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_08,8,caption_claim_safety,F1,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_09,9,caption_claim_safety,T2,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_10,10,caption_claim_safety,F2,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_11,11,caption_claim_safety,T4,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_12,12,caption_claim_safety,F3,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_13,13,caption_claim_safety,T3,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
manual_capture_14,14,caption_claim_safety,T6,caption_claim_safety_reviewer,True,False,False,False,False,False,reviewer assignment packet only
