regime_v50,constraint_type,source_family,source_id,cap_v50,used_exposure_v50,slack_v50,active_v50
strict,source_cap,grade,B,0.5360516682315644,529847.0689530645,6204.599278499838,False
strict,source_cap,score_decile,1,0.4228492034227543,422849.2034227543,0.0,True
strict,source_cap,score_decile,2,0.4228492034227543,422849.2034227543,0.0,True
strict,source_cap,income_band,inc_q5,0.4066529310469355,406652.9310469355,0.0,True
strict,source_cap,dti_band,dti_q1,0.23922497652653546,239224.97652653547,0.0,True
strict,source_cap,dti_band,dti_q2,0.23922497652653546,239224.97652653547,0.0,True
strict,source_cap,state_top20,CA,0.12,120000.0,0.0,True
strict,source_cap,state_top20,FL,0.12,120000.0,0.0,True
strict,source_cap,state_top20,TX,0.12,120000.0,0.0,True
strict,source_cap,state_top20,other_state,0.12,120000.0,0.0,True
