regime_v50,scenario_row,scenario_loss_v50,eta_v50,excess_loss_v50
relaxed,0,0.0,0.0,0.0
relaxed,1,0.0,0.0,0.0
relaxed,2,0.0,0.0,0.0
relaxed,3,0.0,0.0,0.0
relaxed,4,0.0,0.0,0.0
relaxed,5,0.0,0.0,0.0
relaxed,6,0.0,0.0,0.0
relaxed,7,0.0,0.0,0.0
relaxed,8,0.0,0.0,0.0
relaxed,9,0.0,0.0,0.0
relaxed,10,0.0,0.0,0.0
relaxed,11,0.0,0.0,0.0
relaxed,12,0.0,0.0,0.0
relaxed,13,0.0,0.0,0.0
relaxed,14,0.0,0.0,0.0
relaxed,15,0.0,0.0,0.0
relaxed,16,0.0,0.0,0.0
relaxed,17,0.0,0.0,0.0
relaxed,18,0.0,0.0,0.0
relaxed,19,0.0,0.0,0.0
relaxed,20,0.0,0.0,0.0
relaxed,21,0.0,0.0,0.0
relaxed,22,0.0,0.0,0.0
relaxed,23,0.0,0.0,0.0
relaxed,24,0.0,0.0,0.0
relaxed,25,0.0,0.0,0.0
relaxed,26,0.0,0.0,0.0
relaxed,27,0.0,0.0,0.0
relaxed,28,0.0,0.0,0.0
relaxed,29,0.0,0.0,0.0
relaxed,30,0.0,0.0,0.0
relaxed,31,0.0,0.0,0.0
relaxed,32,0.0,0.0,0.0
relaxed,33,0.0,0.0,0.0
relaxed,34,0.0,0.0,0.0
relaxed,35,0.0,0.0,0.0
relaxed,36,0.0,0.0,0.0
relaxed,37,0.0,0.0,0.0
relaxed,38,0.0,0.0,0.0
relaxed,39,0.0,0.0,0.0
relaxed,40,0.0,0.0,0.0
relaxed,41,0.0,0.0,0.0
relaxed,42,0.0,0.0,0.0
relaxed,43,0.0,0.0,0.0
relaxed,44,0.0,0.0,0.0
relaxed,45,0.0,0.0,0.0
relaxed,46,0.0,0.0,0.0
relaxed,47,0.0,0.0,0.0
relaxed,48,0.0,0.0,0.0
relaxed,49,0.0,0.0,0.0
relaxed,50,0.0,0.0,0.0
relaxed,51,0.0,0.0,0.0
relaxed,52,0.0,0.0,0.0
relaxed,53,0.0,0.0,0.0
relaxed,54,0.0,0.0,0.0
relaxed,55,0.0,0.0,0.0
relaxed,56,0.0,0.0,0.0
relaxed,57,0.0,0.0,0.0
relaxed,58,0.0,0.0,0.0
relaxed,59,0.0,0.0,0.0
relaxed,60,0.0,0.0,0.0
relaxed,61,0.0,0.0,0.0
relaxed,62,0.0,0.0,0.0
relaxed,63,0.0,0.0,0.0
relaxed,64,0.0,0.0,0.0
relaxed,65,0.0,0.0,0.0
relaxed,66,0.0,0.0,0.0
relaxed,67,0.0,0.0,0.0
relaxed,68,0.0,0.0,0.0
relaxed,69,0.0,0.0,0.0
relaxed,70,0.0,0.0,0.0
relaxed,71,0.0,0.0,0.0
relaxed,72,0.0,0.0,0.0
relaxed,73,0.0,0.0,0.0
relaxed,74,0.0,0.0,0.0
relaxed,75,0.0,0.0,0.0
relaxed,76,0.0,0.0,0.0
relaxed,77,0.0,0.0,0.0
relaxed,78,0.0,0.0,0.0
relaxed,79,0.0,0.0,0.0
relaxed,80,0.0,0.0,0.0
relaxed,81,0.0,0.0,0.0
relaxed,82,0.0,0.0,0.0
relaxed,83,0.0,0.0,0.0
relaxed,84,0.0,0.0,0.0
relaxed,85,0.0,0.0,0.0
relaxed,86,0.0,0.0,0.0
relaxed,87,0.0,0.0,0.0
relaxed,88,0.0,0.0,0.0
relaxed,89,0.0,0.0,0.0
relaxed,90,0.0,0.0,0.0
relaxed,91,0.0,0.0,0.0
relaxed,92,0.0,0.0,0.0
relaxed,93,0.0,0.0,0.0
relaxed,94,0.0,0.0,0.0
relaxed,95,0.0,0.0,0.0
relaxed,96,0.0,0.0,0.0
relaxed,97,0.0,0.0,0.0
relaxed,98,0.0,0.0,0.0
relaxed,99,0.0,0.0,0.0
relaxed,100,0.0,0.0,0.0
relaxed,101,0.0,0.0,0.0
relaxed,102,0.0,0.0,0.0
relaxed,103,0.0,0.0,0.0
relaxed,104,0.0,0.0,0.0
relaxed,105,0.0,0.0,0.0
relaxed,106,0.0,0.0,0.0
relaxed,107,0.0,0.0,0.0
relaxed,108,0.0,0.0,0.0
relaxed,109,0.0,0.0,0.0
relaxed,110,0.0,0.0,0.0
relaxed,111,0.0,0.0,0.0
relaxed,112,0.0,0.0,0.0
relaxed,113,0.0,0.0,0.0
relaxed,114,0.0,0.0,0.0
relaxed,115,0.0,0.0,0.0
relaxed,116,0.0,0.0,0.0
relaxed,117,0.0,0.0,0.0
relaxed,118,0.0,0.0,0.0
relaxed,119,0.0,0.0,0.0
relaxed,120,0.0,0.0,0.0
relaxed,121,0.0,0.0,0.0
relaxed,122,0.0,0.0,0.0
relaxed,123,0.0,0.0,0.0
relaxed,124,0.0,0.0,0.0
relaxed,125,0.0,0.0,0.0
relaxed,126,0.0,0.0,0.0
relaxed,127,0.0,0.0,0.0
