regime_v50,scenario_row,scenario_loss_v50,eta_v50,excess_loss_v50
strict,0,0.0,0.0,0.0
strict,1,0.0,0.0,0.0
strict,2,0.0,0.0,0.0
strict,3,0.0,0.0,0.0
strict,4,0.0,0.0,0.0
strict,5,0.0,0.0,0.0
strict,6,0.0,0.0,0.0
strict,7,0.0,0.0,0.0
strict,8,0.0,0.0,0.0
strict,9,0.0,0.0,0.0
strict,10,0.0,0.0,0.0
strict,11,0.0,0.0,0.0
strict,12,0.0,0.0,0.0
strict,13,0.0,0.0,0.0
strict,14,0.0,0.0,0.0
strict,15,0.0,0.0,0.0
strict,16,0.0,0.0,0.0
strict,17,0.0,0.0,0.0
strict,18,0.0,0.0,0.0
strict,19,0.0,0.0,0.0
strict,20,0.0,0.0,0.0
strict,21,0.0,0.0,0.0
strict,22,0.0,0.0,0.0
strict,23,0.0,0.0,0.0
strict,24,0.0,0.0,0.0
strict,25,0.0,0.0,0.0
strict,26,0.0,0.0,0.0
strict,27,0.0,0.0,0.0
strict,28,0.0,0.0,0.0
strict,29,0.0,0.0,0.0
strict,30,0.0,0.0,0.0
strict,31,0.0,0.0,0.0
strict,32,0.0,0.0,0.0
strict,33,0.0,0.0,0.0
strict,34,0.0,0.0,0.0
strict,35,0.0,0.0,0.0
strict,36,0.0,0.0,0.0
strict,37,0.0,0.0,0.0
strict,38,0.0,0.0,0.0
strict,39,0.0,0.0,0.0
strict,40,0.0,0.0,0.0
strict,41,0.0,0.0,0.0
strict,42,0.0,0.0,0.0
strict,43,0.0,0.0,0.0
strict,44,0.0,0.0,0.0
strict,45,0.0,0.0,0.0
strict,46,0.0,0.0,0.0
strict,47,0.0,0.0,0.0
strict,48,0.0,0.0,0.0
strict,49,0.0,0.0,0.0
strict,50,0.0,0.0,0.0
strict,51,0.0,0.0,0.0
strict,52,0.0,0.0,0.0
strict,53,0.0,0.0,0.0
strict,54,0.0,0.0,0.0
strict,55,0.0,0.0,0.0
strict,56,0.0,0.0,0.0
strict,57,0.0,0.0,0.0
strict,58,0.0,0.0,0.0
strict,59,0.0,0.0,0.0
strict,60,0.0,0.0,0.0
strict,61,0.0,0.0,0.0
strict,62,0.0,0.0,0.0
strict,63,0.0,0.0,0.0
strict,64,0.0,0.0,0.0
strict,65,0.0,0.0,0.0
strict,66,0.0,0.0,0.0
strict,67,0.0,0.0,0.0
strict,68,0.0,0.0,0.0
strict,69,0.0,0.0,0.0
strict,70,0.0,0.0,0.0
strict,71,0.0,0.0,0.0
strict,72,0.0,0.0,0.0
strict,73,0.0,0.0,0.0
strict,74,0.0,0.0,0.0
strict,75,0.0,0.0,0.0
strict,76,0.0,0.0,0.0
strict,77,0.0,0.0,0.0
strict,78,0.0,0.0,0.0
strict,79,0.0,0.0,0.0
strict,80,0.0,0.0,0.0
strict,81,0.0,0.0,0.0
strict,82,0.0,0.0,0.0
strict,83,0.0,0.0,0.0
strict,84,0.0,0.0,0.0
strict,85,0.0,0.0,0.0
strict,86,0.0,0.0,0.0
strict,87,0.0,0.0,0.0
strict,88,0.0,0.0,0.0
strict,89,0.0,0.0,0.0
strict,90,0.0,0.0,0.0
strict,91,0.0,0.0,0.0
strict,92,0.0,0.0,0.0
strict,93,0.0,0.0,0.0
strict,94,0.0,0.0,0.0
strict,95,0.0,0.0,0.0
strict,96,0.0,0.0,0.0
strict,97,0.0,0.0,0.0
strict,98,0.0,0.0,0.0
strict,99,0.0,0.0,0.0
strict,100,0.0,0.0,0.0
strict,101,0.0,0.0,0.0
strict,102,0.0,0.0,0.0
strict,103,0.0,0.0,0.0
strict,104,0.0,0.0,0.0
strict,105,0.0,0.0,0.0
strict,106,0.0,0.0,0.0
strict,107,0.0,0.0,0.0
strict,108,0.0,0.0,0.0
strict,109,0.0,0.0,0.0
strict,110,0.0,0.0,0.0
strict,111,0.0,0.0,0.0
strict,112,0.0,0.0,0.0
strict,113,0.0,0.0,0.0
strict,114,0.0,0.0,0.0
strict,115,0.0,0.0,0.0
strict,116,0.0,0.0,0.0
strict,117,0.0,0.0,0.0
strict,118,0.0,0.0,0.0
strict,119,0.0,0.0,0.0
strict,120,0.0,0.0,0.0
strict,121,0.0,0.0,0.0
strict,122,0.0,0.0,0.0
strict,123,0.0,0.0,0.0
strict,124,0.0,0.0,0.0
strict,125,0.0,0.0,0.0
strict,126,0.0,0.0,0.0
strict,127,0.0,0.0,0.0
