manual_entry_packet_id_v510,nomination_field_v510,field_required_v510,field_value_prefilled_v510,field_value_entered_v510,human_entry_required_v510,completion_blocker_v510,claim_boundary_v510
manual_capture_01,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_01,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_01,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_01,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_01,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_01,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_02,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_02,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_02,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_02,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_02,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_02,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_03,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_03,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_03,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_03,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_03,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_03,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_04,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_04,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_04,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_04,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_04,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_04,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_05,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_05,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_05,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_05,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_05,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_05,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_06,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_06,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_06,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_06,conflict_statement,True,False,False,True,True,manual entry field template only
manual_capture_06,availability_window,True,False,False,True,True,manual entry field template only
manual_capture_06,claim_boundary_attestation,True,False,False,True,True,manual entry field template only
manual_capture_07,candidate_identifier,True,False,False,True,True,manual entry field template only
manual_capture_07,candidate_affiliation,True,False,False,True,True,manual entry field template only
manual_capture_07,domain_expertise_evidence,True,False,False,True,True,manual entry field template only
manual_capture_07,conflict_statement,True,False,False,True,True,manual entry field template only
