candidate_input_request_id_v512,priority_v512,review_domain_v512,reviewer_role_required_v512,candidate_identifier_request_created_v512,nomination_field_request_created_v512,nomination_signoff_request_created_v512,evidence_request_created_v512,candidate_identifier_received_v512,nomination_fields_received_v512,nomination_signoff_received_v512,candidate_nomination_recorded_v512,eligibility_review_allowed_v512,reviewer_assignment_allowed_v512,outcome_capture_allowed_v512,patch_allowed_v512,input_request_status_v512,claim_boundary_v512
manual_capture_01,1,layout_surface,layout_surface_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_02,2,layout_surface,layout_surface_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_03,3,layout_surface,layout_surface_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_04,4,layout_surface,layout_surface_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_05,5,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_06,6,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_07,7,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_08,8,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_09,9,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_10,10,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_11,11,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_12,12,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_13,13,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
manual_capture_14,14,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,True,False,False,False,False,False,False,False,False,pending_human_input,candidate input request packet only
