collection_reminder_id_v514,nomination_field_v514,field_request_created_v514,field_reminder_created_v514,evidence_required_v514,evidence_reminder_created_v514,field_value_received_v514,field_evidence_received_v514,completion_gap_open_v514,claim_boundary_v514
manual_capture_01,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_01,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_01,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_01,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_01,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_01,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_02,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_02,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_02,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_02,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_02,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_02,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_03,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_03,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_03,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_03,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_03,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_03,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_04,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_04,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_04,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_04,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_04,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_04,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_05,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_05,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_05,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_05,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_05,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_05,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_06,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_06,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_06,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_06,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_06,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_06,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_07,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_07,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_07,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_07,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_07,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_07,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_08,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_08,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_08,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_08,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_08,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_08,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_09,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_09,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_09,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_09,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_09,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_09,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_10,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_10,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_10,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_10,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_10,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_10,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_11,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_11,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_11,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_11,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_11,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_11,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_12,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_12,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_12,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_12,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_12,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_12,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_13,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_13,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_13,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_13,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_13,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_13,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_14,candidate_identifier,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_14,candidate_affiliation,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_14,domain_expertise_evidence,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_14,conflict_statement,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_14,availability_window,True,True,True,True,False,False,True,field and evidence collection checklist only
manual_capture_14,claim_boundary_attestation,True,True,True,True,False,False,True,field and evidence collection checklist only
