second_reminder_id_v516,priority_v516,review_domain_v516,reviewer_role_required_v516,prior_reminder_created_v516,second_reminder_created_v516,human_response_received_v516,candidate_identifier_received_v516,nomination_fields_received_v516,nomination_signoff_received_v516,evidence_received_v516,candidate_nomination_recorded_v516,eligibility_review_allowed_v516,reviewer_assignment_allowed_v516,outcome_capture_allowed_v516,patch_allowed_v516,second_reminder_status_v516,required_next_step_v516,claim_boundary_v516
manual_capture_01,1,layout_surface,layout_surface_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_02,2,layout_surface,layout_surface_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_03,3,layout_surface,layout_surface_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_04,4,layout_surface,layout_surface_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_05,5,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_06,6,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_07,7,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_08,8,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_09,9,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_10,10,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_11,11,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_12,12,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_13,13,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
manual_capture_14,14,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,False,False,False,False,False,False,False,False,False,pending_human_response_after_second_reminder,audit_second_reminder_followup,candidate input second reminder packet only
