second_reminder_followup_audit_id_v517,priority_v517,review_domain_v517,reviewer_role_required_v517,second_reminder_created_v517,human_response_received_v517,candidate_identifier_received_v517,nomination_fields_received_v517,nomination_signoff_received_v517,evidence_received_v517,second_reminder_complete_v517,second_reminder_followup_gap_open_v517,candidate_nomination_recorded_v517,eligibility_review_allowed_v517,reviewer_assignment_allowed_v517,outcome_capture_allowed_v517,patch_allowed_v517,required_next_step_v517,claim_boundary_v517
manual_capture_01,1,layout_surface,layout_surface_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_02,2,layout_surface,layout_surface_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_03,3,layout_surface,layout_surface_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_04,4,layout_surface,layout_surface_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_05,5,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_06,6,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_07,7,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_08,8,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_09,9,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_10,10,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_11,11,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_12,12,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_13,13,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
manual_capture_14,14,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,True,False,False,False,False,False,prepare_candidate_input_escalation_decision,second reminder follow-up audit only
