manual_owner_request_id_v519,priority_v519,review_domain_v519,reviewer_role_required_v519,manual_owner_request_ready_v519,manual_owner_request_created_v519,manual_owner_request_dispatched_v519,manual_owner_escalation_required_v519,human_response_received_v519,candidate_identifier_received_v519,nomination_fields_received_v519,nomination_signoff_received_v519,evidence_received_v519,candidate_input_collection_closed_v519,candidate_nomination_recorded_v519,eligibility_review_allowed_v519,reviewer_assignment_allowed_v519,outcome_capture_allowed_v519,patch_allowed_v519,manual_owner_request_status_v519,required_next_step_v519,claim_boundary_v519
manual_capture_01,1,layout_surface,layout_surface_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_02,2,layout_surface,layout_surface_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_03,3,layout_surface,layout_surface_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_04,4,layout_surface,layout_surface_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_05,5,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_06,6,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_07,7,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_08,8,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_09,9,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_10,10,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_11,11,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_12,12,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_13,13,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
manual_capture_14,14,caption_claim_safety,caption_claim_safety_reviewer,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,pending_manual_owner_dispatch_or_response,audit_manual_owner_escalation_followup,manual owner escalation request packet only
