dispatch_evidence_escalation_followup_item_id_v525,priority_v525,dispatch_evidence_escalation_packet_created_v525,dispatch_evidence_escalation_dispatched_v525,dispatch_evidence_received_v525,external_dispatch_recorded_v525,followup_audit_ready_v525,expected_next_artifact_v525,claim_boundary_v525
manual_capture_01,1,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_02,2,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_03,3,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_04,4,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_05,5,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_06,6,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_07,7,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_08,8,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_09,9,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_10,10,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_11,11,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_12,12,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_13,13,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
manual_capture_14,14,True,False,False,False,True,paper4_v526_dispatch_evidence_escalation_followup_audit.md,future dispatch evidence escalation follow-up audit queue only
