scenario_id,macro_regime_v15,path_family_v19,n_loans,mean_binary_loss,mean_expected_loss,mean_hybrid_loss,p95_hybrid_loss,mean_hybrid_return,claim_boundary_v53
0,baseline_internal,baseline_internal,12000,80.39530533429085,157.7921646563709,130.70326389364288,383.0922696843248,713.0698400423285,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
1,mild_stress_internal,mild_stress_internal,12000,138.97612723282518,205.68426810644314,182.33641880067685,495.43426685555977,667.709285469888,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
2,macro_stress_internal,macro_stress_internal,12000,233.41100817689545,276.65426757666813,261.51912678674773,743.1785048148645,597.8923558241535,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
3,vintage_stress_internal,vintage_stress_internal,12000,115.54480199659825,184.76711027858656,160.53930237989064,433.87184237886805,686.7197325903849,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
4,baseline_internal,baseline_internal,12000,107.02259797357353,197.6442660287058,165.92668220940948,481.80521770890664,683.0631164211396,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
5,mild_stress_internal,mild_stress_internal,12000,97.15372870210867,179.15179216943397,150.45246995587013,433.7225019319699,696.1095641760899,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
6,macro_stress_internal,macro_stress_internal,12000,158.79703502859903,213.88573017521412,194.60468687389883,507.0628587878824,656.4445552780386,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
7,vintage_stress_internal,vintage_stress_internal,12000,117.96576440627916,184.75743468423266,161.38035008694894,447.09557570645165,685.8240114996926,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
8,baseline_internal,baseline_internal,12000,102.71510089262513,177.35960574615797,151.2340290474215,392.5621792551725,695.012663009689,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
9,mild_stress_internal,mild_stress_internal,12000,87.47408086706761,155.50650306875238,131.69515529816272,373.6764142418666,711.7758853151474,"expected/hybrid scenario loss repair for optimization robustness; internal calibration only, not external forecast"
