regime_v56,soft_slack_v56,scenario_row,scenario_loss_v56,scenario_return_v56,eta_v56,excess_loss_v56
strict,True,0,44811.92824398277,19952.419597945944,103174.21234954952,0.0
strict,True,1,67036.32239439103,-437.40451399259393,103174.21234954952,0.0
strict,True,2,104708.83494697066,-36286.74350797881,103174.21234954952,1534.622597421141
strict,True,3,59226.131883057526,7052.017391294205,103174.21234954952,0.0
strict,True,4,65059.64191963333,1132.2305525387192,103174.21234954952,0.0
strict,True,5,57721.110801779185,8223.48675945687,103174.21234954952,0.0
strict,True,6,74246.94601301926,-7015.87960338302,103174.21234954952,0.0
strict,True,7,60361.77545259112,5916.991802741992,103174.21234954952,0.0
strict,True,8,54844.3458581273,10813.115942499953,103174.21234954952,0.0
strict,True,9,46858.31936740962,18262.425271561133,103174.21234954952,0.0
strict,True,10,146610.01997050352,-77100.50996157798,103174.21234954952,43435.807620954
strict,True,11,84698.82356130396,-17112.947970546717,103174.21234954952,0.0
strict,True,12,49719.39979837625,15460.927936543518,103174.21234954952,0.0
strict,True,13,63004.561340521024,3414.6439870092436,103174.21234954952,0.0
strict,True,14,91444.5417122142,-23446.01175904159,103174.21234954952,0.0
strict,True,15,73135.54572123679,-6063.784851102226,103174.21234954952,0.0
strict,True,16,52860.48341896351,12640.225262838778,103174.21234954952,0.0
strict,True,17,48722.72098890905,16557.955194080714,103174.21234954952,0.0
strict,True,18,70064.89025932038,-3048.0085121274583,103174.21234954952,0.0
strict,True,19,93896.09979445965,-25872.53331871556,103174.21234954952,0.0
strict,True,20,63551.341583465204,2663.4244544507806,103174.21234954952,0.0
strict,True,21,69317.52394719797,-2623.028218769956,103174.21234954952,0.0
strict,True,22,93864.59568289062,-25805.19900243094,103174.21234954952,0.0
strict,True,23,87681.641360735,-19947.660065550535,103174.21234954952,0.0
strict,True,24,54542.86386005881,11169.444144050447,103174.21234954952,0.0
strict,True,25,51822.32677303859,13714.355567066355,103174.21234954952,0.0
strict,True,26,87714.31034569175,-19837.683250715272,103174.21234954952,0.0
strict,True,27,85675.37114843972,-18079.099949724918,103174.21234954952,0.0
strict,True,28,50328.5624145136,14984.45258292143,103174.21234954952,0.0
strict,True,29,76291.63632775322,-9223.58768940519,103174.21234954952,0.0
strict,True,30,105331.56617606805,-36851.63881183314,103174.21234954952,2157.3538265185343
strict,True,31,107337.06188344314,-38936.27476434078,103174.21234954952,4162.849533893619
strict,True,32,39559.283807262495,24583.93334090633,103174.21234954952,0.0
strict,True,33,74022.13727381456,-7043.195474938277,103174.21234954952,0.0
strict,True,34,108339.83419415982,-39757.760332191014,103174.21234954952,5165.621844610301
strict,True,35,79530.43021987112,-12104.965557787498,103174.21234954952,0.0
strict,True,36,49712.85495290095,15578.834677389666,103174.21234954952,0.0
strict,True,37,46006.49927535478,19093.12144445278,103174.21234954952,0.0
strict,True,38,98272.19407662284,-30007.864223965145,103174.21234954952,0.0
