regime_v59,scenario_row,scenario_loss_v59,scenario_return_v59,eta_v59,excess_loss_v59
strict_low_deploy,0,17082.87205377592,30936.665122192753,38993.79408709946,0.0
strict_low_deploy,1,24745.42131721302,24634.897841422295,38993.79408709946,0.0
strict_low_deploy,2,39066.3690926078,11841.667424556488,38993.79408709946,72.57500550834084
strict_low_deploy,3,21757.001074707343,27427.532183543586,38993.79408709946,0.0
strict_low_deploy,4,24171.394003353107,24920.504296866235,38993.79408709946,0.0
strict_low_deploy,5,21367.697050112874,27550.24224211147,38993.79408709946,0.0
strict_low_deploy,6,25553.1021387632,24248.97869444054,38993.79408709946,0.0
strict_low_deploy,7,21287.50293423581,27854.057651129468,38993.79408709946,0.0
strict_low_deploy,8,18821.871204589355,29513.152299141766,38993.79408709946,0.0
strict_low_deploy,9,16505.67586489897,31644.75902198439,38993.79408709946,0.0
strict_low_deploy,10,59649.611491863594,-7751.90739175756,38993.79408709946,20655.817404764137
strict_low_deploy,11,31020.290719472403,19197.2028740127,38993.79408709946,0.0
strict_low_deploy,12,19320.363570153168,29066.603777867844,38993.79408709946,0.0
strict_low_deploy,13,23283.279625057778,25925.409433537072,38993.79408709946,0.0
strict_low_deploy,14,32972.434928839015,17518.1753127068,38993.79408709946,0.0
strict_low_deploy,15,29312.904797951298,20686.454925316964,38993.79408709946,0.0
strict_low_deploy,16,19771.45484918243,28751.409689978984,38993.79408709946,0.0
strict_low_deploy,17,16418.164063792636,31709.931035092068,38993.79408709946,0.0
strict_low_deploy,18,23277.299336755033,26272.955968205886,38993.79408709946,0.0
strict_low_deploy,19,37243.65257658403,13463.117594522111,38993.79408709946,0.0
strict_low_deploy,20,26271.43137355835,23061.06730919104,38993.79408709946,0.0
strict_low_deploy,21,27878.91707526278,21822.648032849607,38993.79408709946,0.0
strict_low_deploy,22,33880.55456214366,16677.469956300054,38993.79408709946,0.0
strict_low_deploy,23,33207.19128891862,17170.149474830112,38993.79408709946,0.0
strict_low_deploy,24,20930.67763634669,27767.10109101858,38993.79408709946,0.0
strict_low_deploy,25,18690.290381189057,29844.826731708374,38993.79408709946,0.0
strict_low_deploy,26,34698.573641603216,15901.690906841915,38993.79408709946,0.0
strict_low_deploy,27,34514.67476344138,15922.673595830696,38993.79408709946,0.0
strict_low_deploy,28,18589.532057355977,29711.253467440292,38993.79408709946,0.0
strict_low_deploy,29,29277.09490489871,20581.981290939395,38993.79408709946,0.0
strict_low_deploy,30,43460.63870085976,7683.726151290718,38993.79408709946,4466.844613760302
strict_low_deploy,31,41855.29200190286,9128.780913352917,38993.79408709946,2861.4979148034035
strict_low_deploy,32,13115.211391210616,34044.009605452884,38993.79408709946,0.0
strict_low_deploy,33,28091.29373376053,21651.63422169495,38993.79408709946,0.0
strict_low_deploy,34,41828.56833773182,9269.91991610776,38993.79408709946,2834.774250632363
strict_low_deploy,35,31131.30407393601,19071.749246897205,38993.79408709946,0.0
strict_low_deploy,36,19138.90418117772,29271.287213832456,38993.79408709946,0.0
strict_low_deploy,37,16729.497434382425,31455.927802456725,38993.79408709946,0.0
strict_low_deploy,38,37143.09318808251,13640.842898904379,38993.79408709946,0.0
strict_low_deploy,39,29057.39362186067,20960.949381688697,38993.79408709946,0.0
strict_low_deploy,40,20506.200191160577,28130.540647280137,38993.79408709946,0.0
strict_low_deploy,41,26126.760320921298,23414.855359456906,38993.79408709946,0.0
strict_low_deploy,42,36080.815728465306,14643.673285809786,38993.79408709946,0.0
strict_low_deploy,43,21853.955855953267,27345.679492480547,38993.79408709946,0.0
strict_low_deploy,44,22537.70541805321,26328.005655156572,38993.79408709946,0.0
strict_low_deploy,45,21334.464366478904,27577.482962718088,38993.79408709946,0.0
strict_low_deploy,46,33172.51974292624,17306.543823660806,38993.79408709946,0.0
strict_low_deploy,47,27204.02706583049,22655.086547069088,38993.79408709946,0.0
strict_low_deploy,48,17888.335692046952,30324.31577879436,38993.79408709946,0.0
strict_low_deploy,49,18928.05702843834,29605.333740812213,38993.79408709946,0.0
strict_low_deploy,50,30882.845511649823,19389.36960687495,38993.79408709946,0.0
strict_low_deploy,51,29393.847834985434,20642.990200818418,38993.79408709946,0.0
strict_low_deploy,52,19832.33688574902,28695.040091860123,38993.79408709946,0.0
strict_low_deploy,53,17161.717750742584,31131.580200835528,38993.79408709946,0.0
strict_low_deploy,54,52463.226259419665,-838.6464446590827,38993.79408709946,13469.432172320208
strict_low_deploy,55,20277.290924690726,28742.50278858432,38993.79408709946,0.0
strict_low_deploy,56,15976.051196136963,31849.983080499587,38993.79408709946,0.0
strict_low_deploy,57,27328.16218270514,22324.99810311681,38993.79408709946,0.0
strict_low_deploy,58,34984.46893580763,15636.989579468427,38993.79408709946,0.0
strict_low_deploy,59,21618.83747871319,27531.33591954721,38993.79408709946,0.0
strict_low_deploy,60,24541.51762069737,24640.026707113902,38993.79408709946,0.0
strict_low_deploy,61,34551.860957944096,15738.833647458152,38993.79408709946,0.0
strict_low_deploy,62,29643.81080589486,20543.765459904018,38993.79408709946,0.0
strict_low_deploy,63,26788.882628007555,23023.70058017934,38993.79408709946,0.0
strict_low_deploy,64,14139.149576996188,33140.865028164626,38993.79408709946,0.0
strict_low_deploy,65,17009.1817061942,31190.707318238146,38993.79408709946,0.0
