policy_id,scenario,mean_diff_vs_paper1,p05_diff_vs_paper1,p50_diff_vs_paper1,p95_diff_vs_paper1,prob_beats_paper1,cvar90_simulated_loss,n_paths
paper1_economic_champion,adverse,0.0,0.0,0.0,0.0,0.0,307630.89562528057,250
paper1_economic_champion,baseline,0.0,0.0,0.0,0.0,0.0,215482.09755059608,250
paper1_economic_champion,severe,0.0,0.0,0.0,0.0,0.0,374384.965055253,250
paper4_v4_local_rt0p1700_g0p400_u0p000,adverse,-6942.615184143317,-56572.694711059485,-7702.227370440385,44859.51953189945,0.42,310242.5809129841,250
paper4_v4_local_rt0p1700_g0p400_u0p000,baseline,-869.0154982253341,-48926.45157647415,-1966.6661017681963,49470.01953673787,0.476,222207.58938979238,250
paper4_v4_local_rt0p1700_g0p400_u0p000,severe,-1387.9431746831303,-62722.19534088835,-1918.732125079082,55795.21956002113,0.48,379269.70707967825,250
paper4_v4_local_rt0p1700_g0p400_u0p025,adverse,-5633.614488803902,-67374.66000296583,-8010.872590732254,53871.9030555576,0.436,308395.57877298933,250
paper4_v4_local_rt0p1700_g0p400_u0p025,baseline,-485.2712606733908,-54155.50300585725,1380.6964069792134,53162.9534932269,0.512,225841.58955283707,250
paper4_v4_local_rt0p1700_g0p400_u0p025,severe,-2380.0222618661332,-53325.179468453905,635.0081283709733,52493.90556397089,0.512,380242.6623953857,250
paper4_v4_local_rt0p1700_g0p400_u0p050,adverse,-3372.51134587896,-60275.02295420369,-3388.246001778729,50009.76435908746,0.46,309603.06531273155,250
paper4_v4_local_rt0p1700_g0p400_u0p050,baseline,216.02057407369537,-55045.85589051537,3015.8750587367467,50465.75247222189,0.524,214007.69176713226,250
paper4_v4_local_rt0p1700_g0p400_u0p050,severe,-5229.37499394485,-61001.5793824123,-7138.098238201153,49245.52079564847,0.432,383324.92733181536,250
paper4_v4_local_rt0p1700_g0p400_u0p075,adverse,-3820.949580041235,-65895.7041292201,-5144.805098383662,60859.683975295215,0.448,305213.52425670525,250
paper4_v4_local_rt0p1700_g0p400_u0p075,baseline,-680.3503831230803,-53448.75962941933,678.9970847448385,45741.80928099917,0.508,216794.0945242492,250
paper4_v4_local_rt0p1700_g0p400_u0p075,severe,-2933.0506654442634,-59713.799635835494,-1378.7133906054332,54434.72854086426,0.48,377291.0886747252,250
paper4_v4_local_rt0p1700_g0p400_u0p100,adverse,-6310.695073898338,-58572.16454132654,-5644.6014833222325,46207.621160131865,0.428,309379.5464304485,250
paper4_v4_local_rt0p1700_g0p400_u0p100,baseline,-888.7604363075569,-54821.14269988095,-1381.00489081058,54972.69949568592,0.472,222119.0921375638,250
paper4_v4_local_rt0p1700_g0p400_u0p100,severe,-6761.153232277525,-60007.794955834994,-6706.779463998435,50653.48956515512,0.416,382708.94421384245,250
paper4_v4_local_rt0p1700_g0p425_u0p000,adverse,2279.9164338016703,-58368.30768346831,2883.0083700418527,57451.46349507006,0.544,296051.5527487463,250
paper4_v4_local_rt0p1700_g0p425_u0p000,baseline,988.5729904545485,-48770.374172742006,-280.8389024485905,59221.94005047116,0.488,216290.15958009916,250
paper4_v4_local_rt0p1700_g0p425_u0p000,severe,2775.1226718142743,-56688.43959299259,2171.347136465638,62525.74085588437,0.536,365838.3006505655,250
paper4_v4_local_rt0p1700_g0p425_u0p025,adverse,-1085.8589776749052,-57654.94169496883,-1693.109243286382,61879.462224894865,0.472,300914.77878931747,250
paper4_v4_local_rt0p1700_g0p425_u0p025,baseline,1980.7849441234468,-46983.57436626634,2528.636473476502,59818.55720628963,0.516,217247.9035064891,250
paper4_v4_local_rt0p1700_g0p425_u0p025,severe,2594.5543547515913,-48073.141042057716,1445.1659181596115,57321.568153292224,0.524,369224.2284055039,250
paper4_v4_local_rt0p1700_g0p425_u0p050,adverse,1421.3565891810154,-53193.19795386751,2380.203937454644,55614.44735952867,0.52,299970.0277538739,250
