scenario,sicr_rule,stage,rows,ecl,ead
optimistic,relative_2x,1,998694,1038697.1048232497,1406877911.557388
optimistic,relative_2x,2,234994,3494450.572859985,536444510.5678886
optimistic,relative_2x,3,1892,0.0,0.0
optimistic,absolute_pd_25,1,1017801,1163982.779793111,1586925804.7917395
optimistic,absolute_pd_25,2,215887,3302418.506346176,356396617.3335373
optimistic,absolute_pd_25,3,1892,0.0,0.0
optimistic,pd12_15pct,1,1233688,1614911.0644791631,1943322422.1252766
optimistic,pd12_15pct,3,1892,0.0,0.0
optimistic,hybrid_sicr_v5,1,1008164,1077219.7367078771,1490528609.473622
optimistic,hybrid_sicr_v5,2,225524,3451656.2169256625,452793812.65165466
optimistic,hybrid_sicr_v5,3,1892,0.0,0.0
baseline,relative_2x,1,226845,0.0,78410213.469177
baseline,relative_2x,2,1006843,96294909.14084345,1864912208.6560996
baseline,relative_2x,3,1892,0.0,0.0
baseline,absolute_pd_25,1,583520,257574.42739806452,622240574.7658888
baseline,absolute_pd_25,2,650168,94110109.89590664,1321081847.3593879
baseline,absolute_pd_25,3,1892,0.0,0.0
baseline,pd12_15pct,1,1125623,2908968.7176807337,1744379515.800596
baseline,pd12_15pct,2,108065,54187545.79283195,198942906.32468066
baseline,pd12_15pct,3,1892,0.0,0.0
baseline,hybrid_sicr_v5,1,243966,1270.161249488731,98199978.19931482
baseline,hybrid_sicr_v5,2,989722,96253026.16906174,1845122443.9259617
baseline,hybrid_sicr_v5,3,1892,0.0,0.0
adverse,relative_2x,1,25353,0.0,2004970.299688391
adverse,relative_2x,2,1208335,214878882.8445287,1941317451.8255882
adverse,relative_2x,3,1892,0.0,0.0
adverse,absolute_pd_25,1,75265,501.04441053884085,16471742.330911981
adverse,absolute_pd_25,2,1158423,214640516.73488724,1926850679.7943647
adverse,absolute_pd_25,3,1892,0.0,0.0
adverse,pd12_15pct,1,88107,386644.2856163855,190203415.14861783
adverse,pd12_15pct,2,1145581,213301958.84267512,1753119006.9766588
adverse,pd12_15pct,3,1892,0.0,0.0
adverse,hybrid_sicr_v5,1,4390,0.0,493909.1077186543
adverse,hybrid_sicr_v5,2,1229298,214947727.15050918,1942828513.017558
adverse,hybrid_sicr_v5,3,1892,0.0,0.0
severe,relative_2x,1,22544,0.0,1773732.7440642193
severe,relative_2x,2,1211144,243807426.36649337,1941548689.3812125
severe,relative_2x,3,1892,0.0,0.0
severe,absolute_pd_25,1,65320,123.28630545280953,12868201.12817711
severe,absolute_pd_25,2,1168368,243605702.60991743,1930454220.9970996
severe,absolute_pd_25,3,1892,0.0,0.0
severe,pd12_15pct,1,88107,410037.20324416476,190203415.14861783
severe,pd12_15pct,2,1145581,242079852.99460435,1753119006.9766588
severe,pd12_15pct,3,1892,0.0,0.0
severe,hybrid_sicr_v5,1,3173,0.0,321313.5981061892
severe,hybrid_sicr_v5,2,1230515,243875814.3722494,1943001108.5271704
severe,hybrid_sicr_v5,3,1892,0.0,0.0
