policy_id,source_family,top_source_id_v63,top_exposure_share_v63,target_cap_v63,required_cap_slack_share_v63,source_repair_pass_v63,certificate_scope_v63
v63_source_repair_return_guarded_repair,grade,A,0.8531348749298603,0.85,0.0031348749298603096,False,whole-loan heuristic repair concentration certificate
v63_source_repair_return_guarded_repair,score_decile,0,0.8780603053660554,0.9,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_return_guarded_repair,income_band,4,0.3247689081834559,0.85,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_return_guarded_repair,dti_band,0,0.5909158028410265,0.85,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_return_guarded_repair,period,2018,0.7697646259708809,0.82,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_return_guarded_repair,state_top20,other,0.19494403591152062,0.35,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_tail_balanced_repair,grade,A,0.7827962071308303,0.78,0.002796207130830286,False,whole-loan heuristic repair concentration certificate
v63_source_repair_tail_balanced_repair,score_decile,0,0.8046554219714649,0.82,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_tail_balanced_repair,income_band,4,0.21885800372197442,0.72,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_tail_balanced_repair,dti_band,0,0.5816028121584498,0.72,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_tail_balanced_repair,period,2018,0.722565208401028,0.72,0.0025652084010280296,False,whole-loan heuristic repair concentration certificate
v63_source_repair_tail_balanced_repair,state_top20,other,0.20408826396478894,0.3,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_diversity_first_repair,grade,A,0.6824496069042975,0.68,0.002449606904297408,False,whole-loan heuristic repair concentration certificate
v63_source_repair_diversity_first_repair,score_decile,0,0.7218182892947922,0.72,0.0018182892947922191,False,whole-loan heuristic repair concentration certificate
v63_source_repair_diversity_first_repair,income_band,3,0.22947331087072176,0.62,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_diversity_first_repair,dti_band,0,0.5678016196725187,0.62,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_diversity_first_repair,period,2018,0.6827747236507655,0.68,0.002774723650765476,False,whole-loan heuristic repair concentration certificate
v63_source_repair_diversity_first_repair,state_top20,other,0.19409469764142578,0.26,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_strict_source_probe,grade,A,0.581647420183703,0.58,0.0016474201837030078,False,whole-loan heuristic repair concentration certificate
v63_source_repair_strict_source_probe,score_decile,0,0.6289022121149472,0.64,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_strict_source_probe,income_band,3,0.2449274934286305,0.55,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_strict_source_probe,dti_band,0,0.5257390944800496,0.55,0.0,True,whole-loan heuristic repair concentration certificate
v63_source_repair_strict_source_probe,period,2018,0.6222570069996161,0.62,0.0022570069996160624,False,whole-loan heuristic repair concentration certificate
v63_source_repair_strict_source_probe,state_top20,other,0.18113352432145072,0.24,0.0,True,whole-loan heuristic repair concentration certificate
