source_family,pseudo_unseen_split_v64,method_v64,min_support_v64,global_delta_v64,small_cell_bonus_v64,train_rows_v64,holdout_rows_v64,train_months_v64,holdout_months_v64,external_unseen_data_available_v64,strict_live_deployability_claim_allowed,claim_boundary_v64,source_month_defended_min_v64,policy_month_defended_min_v64,stress_slice_min_coverage_v64,avg_width_loan_v64,n_defended_source_cells_v64,n_defended_policy_cells_v64,n_defended_stress_slices_v64,gate_source80_policy90_width95_v64
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.0,0.0,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9086206532474395,9,600,4,True
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.0,0.04,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9110138156406018,9,600,4,True
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.0,0.08,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9134069780337644,9,600,4,True
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.02,0.0,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9263591714918632,9,600,4,True
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.02,0.04,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9287523338850258,9,600,4,True
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.02,0.08,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9311454962781881,9,600,4,True
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.04,0.0,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.94367234892493,9,600,4,True
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.04,0.04,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9460655113180924,9,600,4,True
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.04,0.08,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9484586737112548,9,600,4,True
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.06,0.0,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9606808959334772,9,600,4,False
grade,last_6m,train_support_hierarchical_qhat_bonus,3,0.06,0.04,131524,4680,27,6,False,False,pseudo-unseen historical temporal stress only; no live deployability claim,1.0,1.0,1.0,0.9630740583266395,9,600,4,False
