policy_id,month_idx,calendar_month,cash_end,principal_in,interest_in,realized_loss,expected_loss,outstanding_items,outstanding_balance_proxy,state_value_proxy,decision_scope
v6_dla_loan_level_endogenous,1,2018-01-01,678450.0,0.0,0.0,0.0,0.0,11,321550.0,1000000.0,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,2,2018-02-01,452209.4866319444,8931.944444444445,2752.5421874999997,0.0,511.9699370091864,98,559475.0,1011172.5166949353,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,3,2018-03-01,309746.7617534722,15540.972222222224,4946.302899305555,0.0,1184.4666345979376,146,722425.0,1030987.2951188743,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,4,2018-04-01,219638.95685532404,19954.027777777777,6488.167324074075,0.0,1410.8411210854028,185,838975.0,1057203.1157342386,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,5,2018-05-01,163187.61074537033,23191.52777777777,7507.12611226852,0.0,1849.3743409814642,211,926125.0,1087463.236404389,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,6,2018-06-01,129790.71784490737,25612.361111111102,8265.745988425922,0.0,1618.864788912628,226,993400.0,1121571.8530559947,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,7,2018-07-01,113268.95839120366,27481.1111111111,8897.12943518518,0.0,1227.2916130577469,234,1046300.0,1158341.6667781458,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,8,2018-08-01,101607.6348842592,28950.555555555544,9388.120937499998,0.0,1587.3991185544407,236,1096300.0,1196320.2357657047,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,9,2018-09-01,99901.76287962956,30339.444444444434,9654.683550925927,0.0,2538.674375478247,246,1138000.0,1235363.0885041514,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,10,2018-10-01,94336.50499305548,31497.77777777777,9961.96433564816,0.0,3527.705289582172,248,1185025.0,1275833.7997034732,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,11,2018-11-01,91093.22537384252,32804.02777777777,10402.692603009262,0.0,1844.4533624624594,251,1231475.0,1320723.7720113802,loan_level_endogenous_monthly_funding
v6_dla_loan_level_endogenous,12,2018-12-01,89267.63390624992,34094.30555555554,10680.10297685185,0.0,1704.2064199853169,258,1278075.0,1365638.4274862646,loan_level_endogenous_monthly_funding
