policy_id,solver_status,elapsed_seconds,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,max_weak_share,n_funded,funded_exposure,objective_return,realized_return_proxy_lgd45,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,solver_lane,scenario_loss_mean,scenario_loss_max,scenario_loss_cvar90,hybrid_status,auditability_constraint_retained
v6_mdcp_base_rt170,TerminationCondition.optimal,0.6660362789989449,0.17,0.0,0.0,,,,331,1000000.0,134892.71189664103,146933.107940786,0.17000000000017002,0.8375432304595252,0.5093793461802668,mdcp_source_width_inside_solver,,,,,
v6_mdcp_width_rt170,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.3725917230003688,,,,,,,0,0.0,,,,,,mdcp_source_width_inside_solver,,,,,
v6_mdcp_source_rt1725,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.4869590859998425,,,,,,,0,0.0,,,,,,mdcp_source_width_inside_solver,,,,,
v6_mdcp_strict_rt175,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.4405451719976554,,,,,,,0,0.0,,,,,,mdcp_source_width_inside_solver,,,,,
v6_cvar_cap360000_floor80000,TerminationCondition.optimal,0.9397138360000099,0.1725,0.04,0.04,360000.0,80000.0,0.35,291,1000000.0,120599.79314381172,108813.21155760411,0.17250000000017252,0.8220225072423313,0.3500000000003499,expanded_topk_cvar_constraint,154000.45594744207,252649.31552376956,252649.31552376956,,
v6_cvar_cap360000_floor110000,TerminationCondition.optimal,0.8483779870002763,0.1725,0.04,0.04,360000.0,110000.0,0.35,291,1000000.0,120599.79314381172,108813.21155760411,0.17250000000017252,0.8220225072423313,0.3500000000003499,expanded_topk_cvar_constraint,154000.45594744207,252649.31552376956,252649.31552376956,,
v6_cvar_cap420000_floor80000,TerminationCondition.optimal,1.1258349979980267,0.1725,0.04,0.04,420000.0,80000.0,0.35,291,1000000.0,120599.79314381172,108813.21155760411,0.17250000000017252,0.8220225072423313,0.3500000000003499,expanded_topk_cvar_constraint,154000.45594744207,252649.31552376956,252649.31552376956,,
v6_cvar_cap420000_floor110000,TerminationCondition.optimal,0.9669362929998897,0.1725,0.04,0.04,420000.0,110000.0,0.35,291,1000000.0,120599.79314381172,108813.21155760411,0.17250000000017252,0.8220225072423313,0.3500000000003499,expanded_topk_cvar_constraint,154000.45594744207,252649.31552376956,252649.31552376956,,
v6_cvar_cap520000_floor80000,TerminationCondition.optimal,0.8806100370020431,0.1725,0.04,0.04,520000.0,80000.0,0.35,291,1000000.0,120599.79314381172,108813.21155760411,0.17250000000017252,0.8220225072423313,0.3500000000003499,expanded_topk_cvar_constraint,154000.45594744207,252649.31552376956,252649.31552376956,,
v6_cvar_cap520000_floor110000,TerminationCondition.optimal,1.0084235150025052,0.1725,0.04,0.04,520000.0,110000.0,0.35,291,1000000.0,120599.79314381172,108813.21155760411,0.17250000000017252,0.8220225072423313,0.3500000000003499,expanded_topk_cvar_constraint,154000.45594744207,252649.31552376956,252649.31552376956,,
v6_cvar_cap650000_floor80000,TerminationCondition.optimal,0.7674192699996638,0.1725,0.04,0.04,650000.0,80000.0,0.35,291,1000000.0,120599.79314381172,108813.21155760411,0.17250000000017252,0.8220225072423313,0.3500000000003499,expanded_topk_cvar_constraint,154000.45594744207,252649.31552376956,252649.31552376956,,
v6_cvar_cap650000_floor110000,TerminationCondition.optimal,0.9768216939992271,0.1725,0.04,0.04,650000.0,110000.0,0.35,291,1000000.0,120599.79314381172,108813.21155760411,0.17250000000017252,0.8220225072423313,0.3500000000003499,expanded_topk_cvar_constraint,154000.45594744207,252649.31552376956,252649.31552376956,,
v6_cvar_cap360000_floor140000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.833355898001173,,,,,,,0,0.0,,,,,,expanded_topk_cvar_constraint,,,,,
v6_cvar_cap420000_floor140000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",0.6883599940010754,,,,,,,0,0.0,,,,,,expanded_topk_cvar_constraint,,,,,
