policy_id,regime_v70,path_id,scenario_loss_v70,scenario_return_v70,claim_boundary_v70
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,0,78582.4584460437,-7049.403256053567,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,1,116618.26711200754,-43358.83184179273,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,2,176063.7808472754,-101184.4804737955,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,3,107205.7956665745,-34082.15401669923,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,4,115597.26296107529,-42549.35901237352,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,5,102171.98513745615,-29406.774753645084,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,6,130932.13332065588,-56962.74228569005,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,7,109569.96348399395,-36404.292863866765,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,8,87071.66311125134,-14934.087708424928,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,9,84598.76164698054,-12463.925932728036,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,10,216566.4291542475,-141076.69624604273,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,11,144397.0201804209,-70237.05978997261,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,12,89761.17417847597,-17775.656602860043,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,13,102689.72912446859,-29880.108854267462,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,14,154868.29640308846,-80371.29505154211,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,15,122678.21526679717,-49261.30374600112,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,16,92536.06160829896,-20333.87390259301,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,17,92499.3109634338,-19983.963915785265,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,18,120545.42103979515,-46853.59786301466,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,19,144007.60522374493,-70018.05745194896,restricted-master scenario evaluation only
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,20,97651.96422225283,-25520.192465416425,restricted-master scenario evaluation only
