policy_id,regime_v71,source_family,universe_source_ids_v71,master_source_ids_v71,missing_source_ids_v71,binding_source_constraints_v71,nonzero_source_marginals_v71,max_abs_source_marginal_v71,source_constraint_scope_complete_v71,missing_source_examples_v71,claim_boundary_v71
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,grade,7,6,1,1,1,0.32201468768768976,False,G,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,score_decile,10,5,5,1,1,0.0798446953750393,False,5|6|7|8|9,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,income_band,5,5,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,dti_band,5,5,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,period,3,3,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,incumbent_cvar_relaxed_source_lp,state_top20,21,21,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,grade,7,6,1,1,1,0.18730864378773776,False,G,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,score_decile,10,5,5,1,1,0.051109989677327716,False,5|6|7|8|9,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,income_band,5,5,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,dti_band,5,5,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,period,3,3,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,state_top20,21,21,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_return_guarded_repair,incumbent_cvar_relaxed_source_lp,grade,7,5,2,1,1,0.17049417408930867,False,F|G,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_return_guarded_repair,incumbent_cvar_relaxed_source_lp,score_decile,10,5,5,1,1,0.048294364156955,False,5|6|7|8|9,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_return_guarded_repair,incumbent_cvar_relaxed_source_lp,income_band,5,5,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
v63_source_repair_return_guarded_repair,incumbent_cvar_relaxed_source_lp,dti_band,5,5,0,0,0,0.0,True,,source duals inherit v69 restricted-master source IDs; missing IDs block full certificate
