policy_id,regime_v74,lhs_v74,rhs_v74,slack_v74,binding_v74,claim_boundary_v74,constraint_type_v74,source_family,source_id,cap_share_v74,cap_mode_v74,path_id,iteration_v74
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,803557.5,850000.0,46442.5,False,v74 iteration active-constraint diagnostic only,budget_upper,,,,,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-803557.5,-803557.5,0.0,True,v74 iteration active-constraint diagnostic only,budget_lower,,,,,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-3.637978807091713e-12,0.0,3.637978807091713e-12,True,v74 iteration active-constraint diagnostic only,source_share,grade,A,0.68,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-464305.7,0.0,464305.7,False,v74 iteration active-constraint diagnostic only,source_share,grade,B,0.68,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-474744.10000000003,0.0,474744.10000000003,False,v74 iteration active-constraint diagnostic only,source_share,grade,C,0.68,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-455819.10000000003,0.0,455819.10000000003,False,v74 iteration active-constraint diagnostic only,source_share,grade,D,0.68,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-535669.1,0.0,535669.1,False,v74 iteration active-constraint diagnostic only,source_share,grade,E,0.68,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-544419.1,0.0,544419.1,False,v74 iteration active-constraint diagnostic only,source_share,grade,F,0.68,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,0.0,0.0,0.0,True,v74 iteration active-constraint diagnostic only,source_share,score_decile,0,0.72,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-463315.3,0.0,463315.3,False,v74 iteration active-constraint diagnostic only,source_share,score_decile,1,0.72,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-482311.39999999997,0.0,482311.39999999997,False,v74 iteration active-constraint diagnostic only,source_share,score_decile,2,0.72,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-565061.3999999999,0.0,565061.3999999999,False,v74 iteration active-constraint diagnostic only,source_share,score_decile,3,0.72,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-578561.3999999999,0.0,578561.3999999999,False,v74 iteration active-constraint diagnostic only,source_share,score_decile,4,0.72,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-470605.65,0.0,470605.65,False,v74 iteration active-constraint diagnostic only,source_share,income_band,0,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-447742.2,0.0,447742.2,False,v74 iteration active-constraint diagnostic only,source_share,income_band,1,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-418355.65,0.0,418355.65,False,v74 iteration active-constraint diagnostic only,source_share,income_band,2,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-350767.25,0.0,350767.25,False,v74 iteration active-constraint diagnostic only,source_share,income_band,3,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,1.8189894035458565e-12,0.0,-1.8189894035458565e-12,True,v74 iteration active-constraint diagnostic only,source_share,income_band,4,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,0.0,0.0,0.0,True,v74 iteration active-constraint diagnostic only,source_share,dti_band,0,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-294886.5,0.0,294886.5,False,v74 iteration active-constraint diagnostic only,source_share,dti_band,1,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-439547.95,0.0,439547.95,False,v74 iteration active-constraint diagnostic only,source_share,dti_band,2,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-465330.65,0.0,465330.65,False,v74 iteration active-constraint diagnostic only,source_share,dti_band,3,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-487705.65,0.0,487705.65,False,v74 iteration active-constraint diagnostic only,source_share,dti_band,4,0.62,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-104624.95000000004,0.0,104624.95000000004,False,v74 iteration active-constraint diagnostic only,source_share,period,2018,0.68,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-252476.85,0.0,252476.85,False,v74 iteration active-constraint diagnostic only,source_share,period,2019,0.68,target_source_cap_probe_lp,,2
v63_source_repair_diversity_first_repair,target_source_cap_probe_lp,-478598.0,0.0,478598.0,False,v74 iteration active-constraint diagnostic only,source_share,period,2020,0.68,target_source_cap_probe_lp,,2
