policy_id,scenario,mean_diff_vs_reference_v6,p05_diff_vs_reference_v6,p50_diff_vs_reference_v6,p95_diff_vs_reference_v6,prob_beats_reference_v6,cvar90_simulated_loss_v6,n_paths,reference_policy_v6
paper4_v4_local_rt0p1700_g0p425_u0p025,adverse,0.0,0.0,0.0,0.0,0.0,255282.2410460957,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p025,baseline,0.0,0.0,0.0,0.0,0.0,180515.67593200895,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p025,cycle_stress,0.0,0.0,0.0,0.0,0.0,304459.85938988643,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p050,adverse,2049.5632473296505,-56263.44717353129,2176.3075227255795,55641.62152754959,0.54,256063.22378157955,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p050,baseline,3114.996151780528,-52748.44943294834,3893.050586571557,52685.859512171846,0.544,181679.17460168508,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1700_g0p425_u0p050,cycle_stress,114.06401140582136,-53225.318363639824,1230.1143791441573,49286.55724078315,0.528,303492.8946969233,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p050,adverse,3569.5456010173493,-50509.11374512396,3816.868694796136,54347.95730052508,0.56,255464.4516736115,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p050,baseline,1565.0486738984766,-53881.94270736806,5717.955383538179,54198.53230335949,0.56,182146.9375522497,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p050,cycle_stress,2132.7645249466523,-55752.937757135056,1262.7280445198048,60993.82107238066,0.516,306151.84251177503,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p075,adverse,3935.602993721151,-48868.74099346411,3041.8302453757588,57821.69715795237,0.544,256168.75919926152,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p075,baseline,2101.4529400332444,-55586.62206102302,6646.916261400929,45349.17296956513,0.576,180220.64692602918,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p075,cycle_stress,3398.404762050073,-47266.208264610956,5191.767475181514,55282.06180200338,0.544,302604.21362376254,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p100,adverse,3617.437590762579,-45306.872319031056,5893.829686870875,53968.35051667008,0.576,258054.6875272325,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p100,baseline,3216.533108900009,-54955.77892567499,6449.338152841407,52290.82235247093,0.572,184641.408906346,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1725_g0p450_u0p100,cycle_stress,1343.3426340388135,-54007.30470063733,1625.2868354245766,55951.24868539155,0.532,304703.4931593112,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p025,adverse,1960.9067564045308,-52119.709554985064,866.4919247353894,58633.278785891234,0.516,260488.29643801256,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p025,baseline,-1415.7406253009099,-60148.25326613907,-928.7879921417943,51193.03449152388,0.476,183409.38812752865,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p025,cycle_stress,-1031.1061628455043,-54149.6574171453,-193.44435948404134,50473.19013591644,0.496,304298.5435555682,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p050,adverse,-703.4516978172894,-52173.49719468547,-1765.5805026802482,52026.70634408974,0.476,257350.34036370637,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p050,baseline,-1863.4073472863902,-52539.47999212696,-2042.1338949713863,49603.78842867229,0.468,185334.6239906358,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1750_g0p450_u0p050,cycle_stress,1764.944775436768,-50928.27128552172,3963.0129012524594,49221.43236574687,0.544,301908.4736180452,250,paper4_v4_local_rt0p1700_g0p425_u0p025
paper4_v4_local_rt0p1775_g0p475_u0p000,adverse,1702.4517665268058,-53179.06193974642,3515.5269641656446,53520.42365208285,0.548,255709.38653567355,250,paper4_v4_local_rt0p1700_g0p425_u0p025
