original_grade,period,n,treatment_share,propensity_min,propensity_max,overlap_bin_pass_v8
A,2018H1,26596,0.3313280192510152,0.1427825024328315,0.904174203729668,True
A,2018H2,22992,0.4836029923451635,0.2062899107692504,0.936023875088331,True
A,2019H1,14366,0.659056104691633,0.3806318812074976,0.9480852711747254,True
A,2019H2,6914,0.6544691929418571,0.5039306874461591,0.9453773429091245,True
A,2020,1487,0.7935440484196369,0.6431677212579625,0.9486570393393522,True
B,2018H1,31403,0.2739547177021303,0.0729908228995249,0.9197686357542906,True
B,2018H2,22329,0.6050875543015809,0.1338092841975979,0.949025957096426,True
B,2019H1,13272,0.6170886075949367,0.2282363761792508,0.9492936524816592,True
B,2019H2,7071,0.6007636826474332,0.3091578064486845,0.9495770165335956,True
B,2020,1115,0.7130044843049327,0.5002901758258403,0.949763933093776,True
C,2018H1,29579,0.3832448696710504,0.0533975451023739,0.9224649255638052,True
C,2018H2,21611,0.3840636712785156,0.0978070783411521,0.9493061019127712,True
C,2019H1,12448,0.5334190231362468,0.1760882990789606,0.9490708491314158,True
C,2019H2,5924,0.8036799459824443,0.2817739276956584,0.949867888727628,True
C,2020,881,0.8751418842224744,0.3888127631349913,0.9499378994133396,True
D,2018H1,17440,0.3645068807339449,0.0507524525392558,0.9455998705089071,True
D,2018H2,13514,0.3366878792363474,0.087306796024156,0.9457818660812451,True
D,2019H1,8806,0.6586418351124234,0.1470318024374367,0.949650230460242,True
D,2019H2,5068,0.8095895816890292,0.1814723212190172,0.9497515330261111,True
D,2020,702,0.8518518518518519,0.3931711883194256,0.9499500559381724,True
E,2018H1,4671,0.4628559195033183,0.0630845620299762,0.947772666441582,True
E,2018H2,4900,0.4148979591836734,0.0745153275375388,0.9429145351259728,True
E,2019H1,1240,0.3782258064516129,0.1181675546410881,0.9383903271582644,True
F,2018H1,942,0.3237791932059448,0.0548010672237813,0.9382090621861724,True
F,2018H2,763,0.3709043250327654,0.0501345326756396,0.9265848331493596,True
F,2019H1,16,0.4375,0.0792975904715442,0.5518320718210662,False
G,2018H1,185,0.1189189189189189,0.066179744049544,0.869892784517684,True
G,2018H2,208,0.3846153846153846,0.0544505161112694,0.9196522031382318,True
G,2019H1,7,0.5714285714285714,0.0878105630416088,0.3333191892620351,False
