online_method_v8,method_family,deployable_without_current_outcomes,min_effective_sample_size,coverage_policy_month_raw_min,coverage_policy_month_defended_min,coverage_source_month_raw_min,coverage_source_month_defended_min,avg_width_loan,avg_width_policy_month,share_rows_widened,share_rows_shrunk,small_policy_month_cells_pooled,small_source_month_cells_pooled,gate_pass_80_defended,gate_pass_90_defended,efficiency_gate_width_95,efficiency_gate_width_98,promotion_eligible,width_gap_to_0p95,parameters_json
v8_targeted_dti_score_or_gradeD_d0.080_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9543797192776867,0.943620048429142,0.5065049484596634,0.49349505154033657,892,51939,True,False,False,True,False,0.004379719277686767,"{""base_multiplier"": 0.995, ""delta"": 0.08, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_dti_score_or_gradeD_d0.081_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9544528448833959,0.9436960014405718,0.5065049484596634,0.49349505154033657,892,51939,True,False,False,True,False,0.004452844883395923,"{""base_multiplier"": 0.995, ""delta"": 0.081, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_gradeD_score_or_dti_d0.080_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9545174873907272,0.9439118355119113,0.4616898182138557,0.5383101817861443,892,51939,True,False,False,True,False,0.004517487390727215,"{""base_multiplier"": 0.995, ""delta"": 0.08, ""mask_name"": ""targeted_gradeD_score_or_dti""}"
v8_gradeD_and_score_low_or_dti_d0.080_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9545174873907272,0.9439118355119113,0.4616898182138557,0.5383101817861443,892,51939,True,False,False,True,False,0.004517487390727215,"{""base_multiplier"": 0.995, ""delta"": 0.08, ""mask_name"": ""gradeD_and_score_low_or_dti""}"
v8_targeted_dti_score_or_gradeD_d0.082_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9545223755656783,0.9437692161637782,0.5065049484596634,0.49349505154033657,892,51939,True,False,False,True,False,0.00452237556567836,"{""base_multiplier"": 0.995, ""delta"": 0.082, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_dti_score_or_gradeD_d0.083_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9545837540861328,0.9438362213058397,0.5065049484596634,0.49349505154033657,892,51939,True,False,False,True,False,0.004583754086132874,"{""base_multiplier"": 0.995, ""delta"": 0.083, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_gradeD_score_or_dti_d0.081_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9545993645749509,0.9439987779191287,0.4616898182138557,0.5383101817861443,892,51939,True,False,False,True,False,0.004599364574950915,"{""base_multiplier"": 0.995, ""delta"": 0.081, ""mask_name"": ""targeted_gradeD_score_or_dti""}"
v8_gradeD_and_score_low_or_dti_d0.081_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9545993645749509,0.9439987779191287,0.4616898182138557,0.5383101817861443,892,51939,True,False,False,True,False,0.004599364574950915,"{""base_multiplier"": 0.995, ""delta"": 0.081, ""mask_name"": ""gradeD_and_score_low_or_dti""}"
v8_targeted_gradeD_score_or_dti_d0.082_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.954677646835748,0.9440829820381228,0.4616898182138557,0.5383101817861443,892,51939,True,False,False,True,False,0.004677646835748006,"{""base_multiplier"": 0.995, ""delta"": 0.082, ""mask_name"": ""targeted_gradeD_score_or_dti""}"
v8_gradeD_and_score_low_or_dti_d0.082_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.954677646835748,0.9440829820381228,0.4616898182138557,0.5383101817861443,892,51939,True,False,False,True,False,0.004677646835748006,"{""base_multiplier"": 0.995, ""delta"": 0.082, ""mask_name"": ""gradeD_and_score_low_or_dti""}"
v8_targeted_gradeD_score_or_dti_d0.083_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9547477769347172,0.9441609765759719,0.4616898182138557,0.5383101817861443,892,51939,True,False,False,True,False,0.004747776934717285,"{""base_multiplier"": 0.995, ""delta"": 0.083, ""mask_name"": ""targeted_gradeD_score_or_dti""}"
v8_gradeD_and_score_low_or_dti_d0.083_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9547477769347172,0.9441609765759719,0.4616898182138557,0.5383101817861443,892,51939,True,False,False,True,False,0.004747776934717285,"{""base_multiplier"": 0.995, ""delta"": 0.083, ""mask_name"": ""gradeD_and_score_low_or_dti""}"
v8_targeted_dti_gradeD_d0.080_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9554742448742078,0.944704904440911,0.5290887198613844,0.4709112801386156,892,51939,True,False,False,True,False,0.00547424487420789,"{""base_multiplier"": 0.995, ""delta"": 0.08, ""mask_name"": ""targeted_dti_gradeD""}"
v8_targeted_dti_gradeD_d0.081_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9555561220584315,0.9447918468481283,0.5290887198613844,0.4709112801386156,892,51939,True,False,False,True,False,0.00555612205843159,"{""base_multiplier"": 0.995, ""delta"": 0.081, ""mask_name"": ""targeted_dti_gradeD""}"
v8_targeted_dti_gradeD_d0.082_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9556344043192285,0.9448760509671225,0.5290887198613844,0.4709112801386156,892,51939,True,False,False,True,False,0.00563440431922857,"{""base_multiplier"": 0.995, ""delta"": 0.082, ""mask_name"": ""targeted_dti_gradeD""}"
v8_targeted_dti_gradeD_d0.083_m0.995,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9557045344181977,0.9449540455049716,0.5290887198613844,0.4709112801386156,892,51939,True,False,False,True,False,0.0057045344181977375,"{""base_multiplier"": 0.995, ""delta"": 0.083, ""mask_name"": ""targeted_dti_gradeD""}"
v8_targeted_dti_score_or_gradeD_d0.076_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9563949351857884,0.9458807818816618,0.5065049484596634,0.0,892,51939,True,False,False,True,False,0.006394935185788486,"{""base_multiplier"": 1.0, ""delta"": 0.076, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_dti_score_or_gradeD_d0.077_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9564680607914975,0.9459567348930915,0.5065049484596634,0.0,892,51939,True,False,False,True,False,0.006468060791497532,"{""base_multiplier"": 1.0, ""delta"": 0.077, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_dti_score_or_gradeD_d0.078_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9565350258117404,0.9460279953265082,0.5065049484596634,0.0,892,51939,True,False,False,True,False,0.00653502581174048,"{""base_multiplier"": 1.0, ""delta"": 0.078, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_dti_score_or_gradeD_d0.079_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9565964043321951,0.9460950004685696,0.5065049484596634,0.0,892,51939,True,False,False,True,False,0.006596404332195105,"{""base_multiplier"": 1.0, ""delta"": 0.079, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_dti_score_or_gradeD_d0.080_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9566577828526496,0.9461620056106312,0.5065049484596634,0.0,892,51939,True,False,False,True,False,0.0066577828526496186,"{""base_multiplier"": 1.0, ""delta"": 0.08, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_dti_score_or_gradeD_d0.081_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9567191613731043,0.9462290107526927,0.5065049484596634,0.0,892,51939,True,False,False,True,False,0.006719161373104354,"{""base_multiplier"": 1.0, ""delta"": 0.081, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_gradeD_score_or_dti_d0.076_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9567324590742555,0.9463334903585848,0.4616898182138557,0.0,892,51939,True,False,False,True,False,0.00673245907425557,"{""base_multiplier"": 1.0, ""delta"": 0.076, ""mask_name"": ""targeted_gradeD_score_or_dti""}"
v8_gradeD_and_score_low_or_dti_d0.076_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9567324590742555,0.9463334903585848,0.4616898182138557,0.0,892,51939,True,False,False,True,False,0.00673245907425557,"{""base_multiplier"": 1.0, ""delta"": 0.076, ""mask_name"": ""gradeD_and_score_low_or_dti""}"
v8_targeted_dti_score_or_gradeD_d0.082_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9567805398935588,0.9462960158947543,0.5065049484596634,0.0,892,51939,True,False,False,True,False,0.006780539893558868,"{""base_multiplier"": 1.0, ""delta"": 0.082, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_gradeD_score_or_dti_d0.077_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9568143362584792,0.9464204327658021,0.4616898182138557,0.0,892,51939,True,False,False,True,False,0.00681433625847927,"{""base_multiplier"": 1.0, ""delta"": 0.077, ""mask_name"": ""targeted_gradeD_score_or_dti""}"
v8_gradeD_and_score_low_or_dti_d0.077_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9568143362584792,0.9464204327658021,0.4616898182138557,0.0,892,51939,True,False,False,True,False,0.00681433625847927,"{""base_multiplier"": 1.0, ""delta"": 0.077, ""mask_name"": ""gradeD_and_score_low_or_dti""}"
v8_targeted_dti_score_or_gradeD_d0.083_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.9,0.0,0.8,0.9568419184140134,0.9463630210368158,0.5065049484596634,0.0,892,51939,True,False,False,True,False,0.0068419184140134925,"{""base_multiplier"": 1.0, ""delta"": 0.083, ""mask_name"": ""targeted_dti_score_or_gradeD""}"
v8_targeted_gradeD_score_or_dti_d0.078_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9568900528572366,0.9465026825950065,0.4616898182138557,0.0,892,51939,True,False,False,True,False,0.00689005285723665,"{""base_multiplier"": 1.0, ""delta"": 0.078, ""mask_name"": ""targeted_gradeD_score_or_dti""}"
v8_gradeD_and_score_low_or_dti_d0.078_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9568900528572366,0.9465026825950065,0.4616898182138557,0.0,892,51939,True,False,False,True,False,0.00689005285723665,"{""base_multiplier"": 1.0, ""delta"": 0.078, ""mask_name"": ""gradeD_and_score_low_or_dti""}"
v8_targeted_gradeD_score_or_dti_d0.079_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9569601829562059,0.9465806771328555,0.4616898182138557,0.0,892,51939,True,False,False,True,False,0.006960182956205929,"{""base_multiplier"": 1.0, ""delta"": 0.079, ""mask_name"": ""targeted_gradeD_score_or_dti""}"
v8_gradeD_and_score_low_or_dti_d0.079_m1.000,deployable_mask_width_penalized_microgrid,True,5,0.6666666666666666,0.8,0.0,0.8,0.9569601829562059,0.9465806771328555,0.4616898182138557,0.0,892,51939,True,False,False,True,False,0.006960182956205929,"{""base_multiplier"": 1.0, ""delta"": 0.079, ""mask_name"": ""gradeD_and_score_low_or_dti""}"
